ts_ns,probe,iter,cycles
912256176707068,cache,0,223658
912256176744935,cache,1,27754
912256176758378,cache,2,25170
912256176771858,cache,3,25974
912256176785082,cache,4,25032
912256176797915,cache,5,24834
912256176811391,cache,6,26088
912256176824371,cache,7,25070
912256176837293,cache,8,25056
912256176850687,cache,9,25870
912256176864165,cache,10,25996
912256176877185,cache,11,24980
912256176890555,cache,12,25790
912256176903600,cache,13,25118
912256176916583,cache,14,25028
912256176929412,cache,15,24766
912256176942782,cache,16,25716
912256176955694,cache,17,24868
912256176969241,cache,18,26068
912256176982227,cache,19,24910
912256176995116,cache,20,24916
912256177013029,cache,21,34856
912256177025965,cache,22,24878
912256177038953,cache,23,25050
912256177052301,cache,24,25888
912256177065696,cache,25,25862
912256177078589,cache,26,24894
912256177092022,cache,27,26010
912256177104894,cache,28,24858
912256177118359,cache,29,26150
912256177131252,cache,30,24904
912256177144345,cache,31,25032
912256177157477,cache,32,25016
912256177170404,cache,33,24982
912256177183771,cache,34,25880
912256177196718,cache,35,25048
912256177209549,cache,36,24798
912256177222301,cache,37,24652
912256177235711,cache,38,25998
912256177248534,cache,39,24856
912256177261924,cache,40,25934
912256177274898,cache,41,25066
912256177288351,cache,42,26038
912256177301244,cache,43,24980
912256177314504,cache,44,24788
912256177327374,cache,45,24892
912256177340707,cache,46,25874
912256177353594,cache,47,24970
912256177366467,cache,48,24904
912256177379682,cache,49,25656
912256177392462,cache,50,24754
912256177405885,cache,51,25976
912256177418730,cache,52,24886
912256177431509,cache,53,24762
912256177444906,cache,54,25914
912256177458273,cache,55,25852
912256177471168,cache,56,24956
912256177484055,cache,57,24992
912256177496976,cache,58,24996
912256177510242,cache,59,25630
912256177523109,cache,60,24880
912256177536466,cache,61,25874
912256177549402,cache,62,24924
912256177562803,cache,63,25906
912256177575701,cache,64,24846
912256177588501,cache,65,24678
912256177601814,cache,66,25808
912256177614817,cache,67,25112
912256177627647,cache,68,24744
912256177641051,cache,69,25778
912256177654369,cache,70,25698
912256177667330,cache,71,24964
912256177680743,cache,72,25964
912256177693627,cache,73,24900
912256177706427,cache,74,24758
912256177719835,cache,75,26002
912256177732811,cache,76,25078
912256177746254,cache,77,26018
912256177759136,cache,78,24912
912256177772148,cache,79,25124
912256177785021,cache,80,24892
912256177798232,cache,81,25552
912256177811068,cache,82,24832
912256177824524,cache,83,26084
912256177837501,cache,84,25086
912256177850885,cache,85,25880
912256177863758,cache,86,24918
912256177877208,cache,87,26116
912256177890602,cache,88,25932
912256177903421,cache,89,24732
912256177916263,cache,90,24908
912256177929567,cache,91,25808
912256177942855,cache,92,25708
912256177955796,cache,93,25056
912256177969271,cache,94,26156
912256177982112,cache,95,24866
912256177995000,cache,96,24922
912256178011811,cache,97,32184
912256178024716,cache,98,24868
912256178038128,cache,99,24784
912256178050987,cache,100,24886
912256178067531,cache,101,26006
912256178080531,cache,102,24836
912256178093414,cache,103,24858
912256178106700,cache,104,25712
912256178120078,cache,105,25952
912256178132967,cache,106,24942
912256178145810,cache,107,24816
912256178159105,cache,108,25838
912256178171968,cache,109,24878
912256178185468,cache,110,26182
912256178199411,cache,111,27022
912256178212345,cache,112,25010
912256178225218,cache,113,24946
912256178238673,cache,114,25906
912256178251517,cache,115,24834
912256178264950,cache,116,26064
912256178277849,cache,117,24944
912256178291207,cache,118,25908
912256178304545,cache,119,25780
912256178317489,cache,120,25084
912256178330356,cache,121,24812
912256178343341,cache,122,25112
912256178356655,cache,123,25856
912256178369450,cache,124,24768
912256178382858,cache,125,25980
912256178395700,cache,126,24770
912256178409056,cache,127,25822
912256178422478,cache,128,25848
912256178435908,cache,129,25940
912256178448734,cache,130,24864
912256178462133,cache,131,25956
912256178475532,cache,132,25944
912256178488395,cache,133,24846
912256178501847,cache,134,26060
912256178514713,cache,135,24850
912256178527627,cache,136,24958
912256178540987,cache,137,25870
912256178553946,cache,138,25028
912256178566824,cache,139,24940
912256178580261,cache,140,26008
912256178593245,cache,141,25112
912256178606136,cache,142,24906
912256178619512,cache,143,25900
912256178632425,cache,144,24976
912256178645964,cache,145,26242
912256178658873,cache,146,24932
912256178672380,cache,147,26050
912256178685962,cache,148,26276
912256178698949,cache,149,24936
912256178711940,cache,150,25154
912256178725369,cache,151,25954
912256178738294,cache,152,24906
912256178751714,cache,153,25998
912256178764668,cache,154,25008
912256178777528,cache,155,24898
912256178790917,cache,156,24904
912256178803766,cache,157,24886
912256178817142,cache,158,25842
912256178830551,cache,159,25942
912256178843458,cache,160,24968
912256178856832,cache,161,25830
912256178869900,cache,162,25260
912256178882699,cache,163,24696
912256178895589,cache,164,24932
912256178909071,cache,165,26088
912256178922046,cache,166,25008
912256178934879,cache,167,24848
912256178948256,cache,168,25926
912256178961074,cache,169,24686
912256178973979,cache,170,24922
912256178986805,cache,171,24800
912256179003521,cache,172,32306
912256179017253,cache,173,26228
912256179030183,cache,174,24902
912256179043207,cache,175,25174
912256179056770,cache,176,26190
912256179069641,cache,177,24880
912256179082955,cache,178,25750
912256179095890,cache,179,25006
912256179109180,cache,180,25782
912256179122199,cache,181,25110
912256179135754,cache,182,26056
912256179148678,cache,183,24852
