ts_ns,freq_khz
1765054444926362623,2000020
1765054444946568322,2000020
1765054444966715344,1999979
1765054444986813285,2000000
1765054445006910017,2000000
1765054445027032314,2000000
1765054445047119570,2000000
1765054445067212803,2000020
1765054445087337143,2000000
1765054445107458419,2000000
1765054445127544526,2000020
1765054445147627651,2000000
1765054445167712255,1999979
1765054445187836999,2000000
1765054445208011050,1999979
1765054445228112407,1999979
1765054445248245281,2000000
1765054445268336950,2000000
