ts_ns,probe,iter,cycles
912288532374387,btb,0,3246
912288532397397,btb,1,2164
912288532399197,btb,2,2024
912288532400801,btb,3,2164
912288532402246,btb,4,2036
912288532403739,btb,5,2090
912288532405163,btb,6,2030
912288532406726,btb,7,2246
912288532408106,btb,8,2008
912288532409462,btb,9,1874
912288532410978,btb,10,2252
912288532412414,btb,11,1976
912288532413706,btb,12,1900
912288532415116,btb,13,1942
912288532416689,btb,14,2144
912288532418261,btb,15,2154
912288532419719,btb,16,1958
912288532421171,btb,17,1980
912288532422531,btb,18,1952
912288532423917,btb,19,1950
912288532425375,btb,20,2146
912288532426756,btb,21,2004
912288532428132,btb,22,1972
912288532429512,btb,23,2002
912288532430839,btb,24,1912
912288532432267,btb,25,2058
912288532433752,btb,26,2162
912288532435202,btb,27,2038
912288532436572,btb,28,1922
912288532438116,btb,29,2274
912288532439497,btb,30,2006
912288532440879,btb,31,1986
912288532442244,btb,32,1970
912288532443605,btb,33,1958
912288532444913,btb,34,1898
912288532446229,btb,35,1910
912288532447562,btb,36,1932
912288532448900,btb,37,1884
912288532450238,btb,38,1910
912288532451591,btb,39,1950
912288532452936,btb,40,1972
912288532454277,btb,41,1878
912288532455731,btb,42,2066
912288532457144,btb,43,1974
912288532458724,btb,44,2216
912288532460151,btb,45,1974
912288532461495,btb,46,1856
912288532462874,btb,47,1996
912288532464242,btb,48,1980
912288532465570,btb,49,1908
912288532466978,btb,50,2034
912288532468304,btb,51,1924
912288532469592,btb,52,1866
912288532470969,btb,53,2000
912288532472313,btb,54,1964
912288532473591,btb,55,1806
912288532475063,btb,56,2180
912288532476334,btb,57,1846
912288532477626,btb,58,1842
912288532478916,btb,59,1848
912288532480246,btb,60,1960
912288532481581,btb,61,1928
912288532482917,btb,62,1890
912288532484206,btb,63,1844
912288532485560,btb,64,1914
912288532487007,btb,65,2046
912288532488315,btb,66,1846
912288532489741,btb,67,2118
912288532491088,btb,68,1922
912288532492357,btb,69,1880
912288532493665,btb,70,1900
912288532494925,btb,71,1802
912288532496344,btb,72,2052
912288532497649,btb,73,1864
912288532498945,btb,74,1854
912288532500226,btb,75,1808
912288532501562,btb,76,1900
912288532502824,btb,77,1794
912288532504190,btb,78,1992
912288532505413,btb,79,1862
912288532506821,btb,80,1946
912288532508309,btb,81,2180
912288532509616,btb,82,1872
912288532510971,btb,83,1906
912288532512322,btb,84,1890
912288532513772,btb,85,1986
912288532515094,btb,86,1888
912288532516753,btb,87,2382
912288532518128,btb,88,1934
912288532519504,btb,89,1950
912288532520885,btb,90,2014
912288532522218,btb,91,1940
912288532523535,btb,92,1914
912288532524861,btb,93,1898
912288532526344,btb,94,2142
912288532527684,btb,95,1950
912288532528995,btb,96,1910
912288532530359,btb,97,1974
912288532531606,btb,98,1786
912288532532955,btb,99,1980
912288532534281,btb,100,1904
912288532538578,btb,101,1990
912288532540124,btb,102,1938
912288532541495,btb,103,1860
912288532542863,btb,104,1866
912288532544240,btb,105,1876
912288532545626,btb,106,1918
912288532547036,btb,107,1950
912288532548456,btb,108,2102
912288532549763,btb,109,1854
912288532551129,btb,110,1962
912288532552381,btb,111,1718
912288532553787,btb,112,1896
912288532555259,btb,113,2162
912288532556556,btb,114,1868
912288532557936,btb,115,2006
912288532559319,btb,116,2030
912288532560582,btb,117,1832
912288532561976,btb,118,1996
912288532563301,btb,119,1890
912288532564673,btb,120,2034
912288532565988,btb,121,1862
912288532567378,btb,122,1982
912288532568699,btb,123,1924
912288532570056,btb,124,1962
912288532571374,btb,125,1898
912288532572853,btb,126,2196
912288532574133,btb,127,1902
912288532575456,btb,128,1844
912288532576832,btb,129,2020
912288532578156,btb,130,1964
912288532579586,btb,131,2124
912288532580912,btb,132,1916
912288532582209,btb,133,1870
912288532583516,btb,134,1870
912288532584985,btb,135,2148
912288532586312,btb,136,1798
912288532587532,btb,137,1798
912288532588940,btb,138,1958
912288532590326,btb,139,1996
912288532591739,btb,140,2070
912288532593052,btb,141,1908
912288532594512,btb,142,2152
912288532595731,btb,143,1854
912288532597043,btb,144,1884
912288532598364,btb,145,1828
912288532599698,btb,146,1930
912288532600981,btb,147,1848
912288532602299,btb,148,1838
912288532603591,btb,149,1854
912288532604989,btb,150,1996
912288532606403,btb,151,2002
912288532607766,btb,152,1954
912288532609117,btb,153,1926
912288532610411,btb,154,1848
912288532611707,btb,155,1828
912288532613048,btb,156,1974
912288532614377,btb,157,1946
912288532615746,btb,158,2010
912288532617054,btb,159,1854
912288532618438,btb,160,2072
912288532619685,btb,161,1778
912288532621039,btb,162,1924
912288532622361,btb,163,1886
912288532623677,btb,164,1936
912288532624951,btb,165,1800
912288532626245,btb,166,1826
912288532627590,btb,167,1938
912288532628879,btb,168,1842
912288532630242,btb,169,1968
912288532631496,btb,170,1780
912288532632901,btb,171,2052
912288532634165,btb,172,1836
912288532635539,btb,173,1890
912288532636888,btb,174,1912
912288532638330,btb,175,2098
912288532639824,btb,176,2006
912288532641198,btb,177,1854
912288532642607,btb,178,2020
912288532644098,btb,179,2164
912288532645468,btb,180,1990
912288532646963,btb,181,2160
912288532648254,btb,182,1804
912288532649691,btb,183,2122
912288532651060,btb,184,1974
912288532652454,btb,185,1974
912288532653836,btb,186,1964
912288532655207,btb,187,1964
912288532656529,btb,188,1946
912288532657845,btb,189,1910
912288532659190,btb,190,1932
912288532660597,btb,191,1976
912288532661933,btb,192,1886
912288532663351,btb,193,2052
912288532664728,btb,194,1990
912288532666120,btb,195,1996
912288532667479,btb,196,1950
912288532668910,btb,197,2078
912288532670284,btb,198,1940
912288532671596,btb,199,1880
912288532673010,btb,200,1984
912288532683773,btb,201,2076
912288532685304,btb,202,1860
912288532686645,btb,203,1898
912288532688142,btb,204,2090
912288532689548,btb,205,1956
912288532690951,btb,206,2066
912288532692319,btb,207,1916
912288532693649,btb,208,1898
912288532695045,btb,209,1970
912288532696470,btb,210,1978
912288532697863,btb,211,1940
912288532699207,btb,212,1878
912288532700622,btb,213,2090
912288532701909,btb,214,1922
912288532703379,btb,215,2134
912288532704756,btb,216,1924
912288532706092,btb,217,1924
912288532707577,btb,218,2204
912288532708879,btb,219,1828
912288532710254,btb,220,2030
912288532711497,btb,221,1790
912288532712821,btb,222,1892
912288532714156,btb,223,1934
912288532715495,btb,224,1908
912288532716862,btb,225,1992
912288532718127,btb,226,1814
912288532719460,btb,227,1942
912288532720761,btb,228,1894
912288532722134,btb,229,2000
912288532723473,btb,230,1936
912288532724804,btb,231,1946
912288532726179,btb,232,2020
912288532727450,btb,233,1788
912288532728851,btb,234,2064
912288532730109,btb,235,1774
912288532731528,btb,236,2094
912288532732928,btb,237,1940
912288532734418,btb,238,2090
912288532735762,btb,239,1872
912288532737181,btb,240,2070
912288532738508,btb,241,1900
912288532739935,btb,242,2112
912288532741213,btb,243,1800
912288532742597,btb,244,1964
912288532744000,btb,245,2064
912288532745444,btb,246,2158
912288532746805,btb,247,1908
912288532748157,btb,248,1964
912288532749425,btb,249,1788
912288532750795,btb,250,1978
912288532752054,btb,251,1798
912288532753371,btb,252,1954
912288532754651,btb,253,1798
912288532755957,btb,254,1864
912288532757351,btb,255,2012
912288532758786,btb,256,2088
912288532760122,btb,257,1900
912288532761415,btb,258,1852
912288532762739,btb,259,1914
912288532764029,btb,260,1858
912288532765559,btb,261,2308
912288532766923,btb,262,2066
912288532768251,btb,263,1862
912288532769680,btb,264,2092
912288532771040,btb,265,1878
912288532772379,btb,266,1914
912288532773726,btb,267,1924
912288532775041,btb,268,1876
912288532776382,btb,269,1976
912288532777683,btb,270,1956
912288532779061,btb,271,1980
912288532780490,btb,272,2044
912288532781835,btb,273,1862
912288532783183,btb,274,1930
912288532784516,btb,275,1914
912288532785860,btb,276,1872
912288532787183,btb,277,1838
912288532788566,btb,278,2002
912288532789871,btb,279,1872
912288532791241,btb,280,2004
912288532792544,btb,281,1858
912288532793846,btb,282,1876
912288532795241,btb,283,2082
912288532796555,btb,284,1826
912288532797999,btb,285,2078
912288532799333,btb,286,1896
912288532800759,btb,287,2052
912288532802113,btb,288,1962
912288532803512,btb,289,2038
912288532804858,btb,290,1964
912288532806168,btb,291,1816
912288532807569,btb,292,2042
912288532808829,btb,293,1822
912288532810147,btb,294,1848
912288532811427,btb,295,1800
912288532812721,btb,296,1878
912288532813992,btb,297,1796
912288532815272,btb,298,1854
912288532816606,btb,299,1926
912288532817893,btb,300,1892
912288532831368,btb,301,1914
912288532832846,btb,302,1884
912288532834214,btb,303,1820
912288532835777,btb,304,2286
912288532837144,btb,305,1834
912288532838490,btb,306,1884
912288532839835,btb,307,1872
912288532841322,btb,308,2136
912288532842726,btb,309,1980
912288532844101,btb,310,1994
912288532845392,btb,311,1824
912288532846793,btb,312,1950
912288532848067,btb,313,1830
912288532849404,btb,314,1916
912288532850726,btb,315,1884
912288532852116,btb,316,2064
912288532853470,btb,317,1862
912288532854829,btb,318,1924
912288532856163,btb,319,1840
912288532857530,btb,320,1952
912288532858865,btb,321,1920
912288532860194,btb,322,1930
912288532861532,btb,323,1894
912288532862847,btb,324,1828
912288532864146,btb,325,1836
912288532865497,btb,326,1910
912288532866863,btb,327,1900
912288532868257,btb,328,1910
912288532869709,btb,329,2022
912288532871023,btb,330,1896
912288532872472,btb,331,2080
912288532873782,btb,332,1876
912288532875140,btb,333,1860
912288532876504,btb,334,1990
912288532877812,btb,335,1836
912288532879113,btb,336,1786
912288532880420,btb,337,1840
912288532881745,btb,338,1900
912288532883101,btb,339,1956
912288532884437,btb,340,1854
912288532885768,btb,341,1884
912288532887107,btb,342,1894
912288532888430,btb,343,1834
912288532889707,btb,344,1804
912288532891137,btb,345,1954
912288532892623,btb,346,2134
912288532894010,btb,347,1922
912288532895386,btb,348,1886
912288532896690,btb,349,1824
912288532898057,btb,350,1946
912288532899332,btb,351,1800
912288532900660,btb,352,1862
912288532901931,btb,353,1864
912288532903222,btb,354,1872
912288532904542,btb,355,1870
912288532905874,btb,356,1924
912288532907159,btb,357,1880
912288532908430,btb,358,1832
912288532909827,btb,359,2004
912288532911177,btb,360,1830
912288532912416,btb,361,1844
912288532913778,btb,362,1884
912288532915074,btb,363,1874
912288532916491,btb,364,1938
912288532917815,btb,365,1878
912288532919132,btb,366,1848
912288532920478,btb,367,1924
912288532921833,btb,368,1930
912288532923344,btb,369,2086
912288532924712,btb,370,1940
912288532926142,btb,371,2000
912288532927501,btb,372,1896
912288532928847,btb,373,1934
912288532930165,btb,374,1892
912288532931438,btb,375,1818
912288532932785,btb,376,1918
912288532934118,btb,377,1874
912288532935390,btb,378,1840
912288532936739,btb,379,1922
912288532938066,btb,380,1908
912288532939408,btb,381,1900
912288532940745,btb,382,1964
912288532942058,btb,383,1866
912288532943441,btb,384,1972
912288532944730,btb,385,1812
912288532946020,btb,386,1802
912288532947340,btb,387,1880
912288532948620,btb,388,1830
912288532949904,btb,389,1848
912288532951250,btb,390,1828
912288532952574,btb,391,1846
912288532953932,btb,392,1912
912288532955351,btb,393,2038
912288532956786,btb,394,1934
912288532958116,btb,395,1882
912288532959458,btb,396,1864
912288532960753,btb,397,1812
912288532962165,btb,398,1992
912288532963539,btb,399,1976
912288532964928,btb,400,1972
912288532968437,btb,401,1990
912288532969927,btb,402,1930
912288532971326,btb,403,1886
912288532972793,btb,404,2022
912288532974080,btb,405,1874
912288532975420,btb,406,1926
912288532976749,btb,407,1898
912288532978122,btb,408,1978
912288532979445,btb,409,1870
912288532980732,btb,410,1810
912288532982092,btb,411,1904
912288532983489,btb,412,1880
912288532984827,btb,413,1922
912288532986233,btb,414,1966
912288532987647,btb,415,1978
912288532988983,btb,416,1888
912288532990351,btb,417,1890
912288532991744,btb,418,2010
912288532993031,btb,419,1938
912288532994495,btb,420,1934
912288532995851,btb,421,1910
912288532997173,btb,422,1846
912288532998512,btb,423,1918
912288532999823,btb,424,1876
912288533004139,btb,425,2052
912288533005685,btb,426,2000
912288533007030,btb,427,1798
912288533008381,btb,428,1908
912288533009774,btb,429,1878
912288533011183,btb,430,2090
912288533012559,btb,431,1988
912288533013888,btb,432,1864
912288533015220,btb,433,1904
912288533016483,btb,434,1824
912288533017871,btb,435,1962
912288533019358,btb,436,2076
912288533020730,btb,437,1856
912288533022138,btb,438,1912
912288533023631,btb,439,2118
912288533024940,btb,440,1860
912288533026371,btb,441,2084
912288533027695,btb,442,1848
912288533029012,btb,443,1878
912288533030351,btb,444,1896
912288533031729,btb,445,1974
912288533033105,btb,446,1970
912288533034462,btb,447,1956
912288533035780,btb,448,1904
912288533037274,btb,449,2228
912288533038791,btb,450,2086
912288533040166,btb,451,1856
912288533041502,btb,452,1890
912288533042908,btb,453,1998
912288533044236,btb,454,1834
912288533045592,btb,455,1850
912288533046899,btb,456,1834
912288533048213,btb,457,1920
912288533049570,btb,458,1972
912288533050965,btb,459,1946
912288533052249,btb,460,1860
912288533053615,btb,461,1876
912288533054931,btb,462,1824
912288533056229,btb,463,1870
912288533057578,btb,464,1936
912288533058878,btb,465,1830
912288533060159,btb,466,1830
912288533061439,btb,467,1796
912288533062684,btb,468,1792
912288533064002,btb,469,1836
912288533065317,btb,470,1902
912288533066589,btb,471,1818
912288533067994,btb,472,2056
912288533069411,btb,473,2056
912288533070749,btb,474,1886
912288533072036,btb,475,1876
912288533073329,btb,476,1828
912288533074640,btb,477,1914
912288533076014,btb,478,1942
912288533077433,btb,479,2084
912288533078754,btb,480,1804
912288533080183,btb,481,2084
912288533081634,btb,482,2058
912288533082985,btb,483,1868
912288533084572,btb,484,2308
912288533085958,btb,485,1930
912288533087255,btb,486,1910
912288533088657,btb,487,1954
912288533090088,btb,488,1958
912288533091512,btb,489,2014
912288533092807,btb,490,1854
912288533094220,btb,491,2018
912288533095511,btb,492,1786
912288533096818,btb,493,1854
912288533098146,btb,494,1832
912288533099462,btb,495,1856
912288533100828,btb,496,1946
912288533102168,btb,497,1910
912288533103472,btb,498,1856
912288533104844,btb,499,1892
912288533106190,btb,500,1934
912288533113506,btb,501,2134
912288533115070,btb,502,1948
912288533116542,btb,503,1920
912288533117988,btb,504,1986
912288533119369,btb,505,1950
912288533120789,btb,506,1996
912288533122105,btb,507,1832
912288533123456,btb,508,1958
912288533125049,btb,509,2062
912288533126364,btb,510,1942
912288533127948,btb,511,2214
912288533129327,btb,512,1920
912288533130793,btb,513,2094
912288533132140,btb,514,1874
912288533133548,btb,515,2042
912288533134871,btb,516,1896
912288533136214,btb,517,1978
912288533137515,btb,518,1808
912288533138898,btb,519,1988
912288533140272,btb,520,1970
912288533141598,btb,521,1918
912288533142990,btb,522,2022
912288533144431,btb,523,1992
912288533145825,btb,524,2066
912288533147189,btb,525,1832
912288533148546,btb,526,1856
912288533149930,btb,527,1940
912288533151330,btb,528,1962
912288533152642,btb,529,1870
912288533153954,btb,530,1884
912288533155220,btb,531,1798
912288533156590,btb,532,1934
912288533157977,btb,533,1968
912288533159313,btb,534,1898
912288533160691,btb,535,1918
912288533162173,btb,536,1904
912288533163468,btb,537,1876
912288533164871,btb,538,1964
912288533166225,btb,539,1876
912288533167550,btb,540,1872
912288533168950,btb,541,1944
912288533170237,btb,542,1836
912288533171553,btb,543,1866
912288533172877,btb,544,1912
912288533174240,btb,545,1942
912288533175726,btb,546,1916
912288533177117,btb,547,2074
912288533178476,btb,548,1884
912288533179867,btb,549,1952
912288533181266,btb,550,1938
912288533182652,btb,551,2016
912288533183942,btb,552,1794
912288533185331,btb,553,1994
912288533186667,btb,554,1894
912288533188014,btb,555,1904
912288533189355,btb,556,1856
912288533190777,btb,557,2098
912288533192115,btb,558,1916
912288533193413,btb,559,1896
912288533194697,btb,560,1842
912288533196040,btb,561,1924
912288533197335,btb,562,1800
912288533198686,btb,563,1912
912288533200071,btb,564,1932
912288533201459,btb,565,1964
912288533202772,btb,566,1874
912288533204239,btb,567,2088
912288533205770,btb,568,2196
912288533207190,btb,569,1972
912288533208595,btb,570,1960
912288533210009,btb,571,2006
912288533211332,btb,572,1856
912288533212690,btb,573,1926
912288533214085,btb,574,1948
912288533215440,btb,575,1906
912288533216768,btb,576,1874
