ts_ns,probe,iter,cycles
912336988807255,pht,0,6388
912336988831165,pht,1,4578
912336988834037,pht,2,3954
912336988837043,pht,3,5098
912336988839915,pht,4,4902
912336988842457,pht,5,4278
912336988845026,pht,6,4296
912336988847546,pht,7,4190
912336988850348,pht,8,4784
912336988852670,pht,9,3910
912336988855077,pht,10,4044
912336988857505,pht,11,3976
912336988859973,pht,12,4116
912336988862261,pht,13,3822
912336988864841,pht,14,4414
912336988867101,pht,15,3722
912336988869360,pht,16,3890
912336988871665,pht,17,3870
912336988874053,pht,18,3914
912336988876393,pht,19,3886
912336988878700,pht,20,3860
912336988881074,pht,21,3996
912336988883421,pht,22,3908
912336988885742,pht,23,3886
912336988888145,pht,24,4036
912336988890459,pht,25,3888
912336988892786,pht,26,3932
912336988895126,pht,27,3880
912336988897548,pht,28,4106
912336988899908,pht,29,3978
912336988902415,pht,30,4252
912336988904788,pht,31,3868
912336988907225,pht,32,4072
912336988909515,pht,33,3816
912336988911913,pht,34,3884
912336988914353,pht,35,4022
912336988916689,pht,36,3922
912336988919049,pht,37,3942
912336988921359,pht,38,3804
912336988923667,pht,39,3846
912336988926003,pht,40,3952
912336988928332,pht,41,3786
912336988930697,pht,42,3904
912336988933048,pht,43,3954
912336988935403,pht,44,3908
912336988937707,pht,45,3834
912336988940022,pht,46,3910
912336988942222,pht,47,3764
912336988944520,pht,48,3858
912336988946794,pht,49,3782
912336988949064,pht,50,3796
912336988951379,pht,51,3874
912336988953684,pht,52,3804
912336988956032,pht,53,3946
912336988958427,pht,54,3930
912336988960744,pht,55,3866
912336988963033,pht,56,3860
912336988965472,pht,57,3828
912336988967742,pht,58,3824
912336988970158,pht,59,4070
912336988972622,pht,60,4076
912336988974984,pht,61,4004
912336988977408,pht,62,4096
912336988979857,pht,63,3954
912336988982124,pht,64,3780
912336988984380,pht,65,3726
912336988986678,pht,66,3806
912336988988987,pht,67,3830
912336988991273,pht,68,3830
912336988993577,pht,69,3858
912336988995924,pht,70,3866
912336988998238,pht,71,3824
912336989003609,pht,72,9766
912336989006098,pht,73,3842
912336989008542,pht,74,3926
912336989010855,pht,75,3764
912336989013151,pht,76,3770
912336989015440,pht,77,3772
912336989017748,pht,78,3836
912336989020052,pht,79,3812
912336989022342,pht,80,3818
912336989024621,pht,81,3756
912336989026960,pht,82,3834
912336989029354,pht,83,3902
912336989031672,pht,84,3828
912336989033979,pht,85,3818
912336989036278,pht,86,3776
912336989038666,pht,87,3976
912336989040964,pht,88,3846
912336989043353,pht,89,4026
912336989045613,pht,90,3786
912336989047914,pht,91,3856
912336989050239,pht,92,3882
912336989052552,pht,93,3910
912336989055002,pht,94,3934
912336989057474,pht,95,3912
912336989059753,pht,96,3776
912336989062096,pht,97,3852
912336989064369,pht,98,3810
912336989066653,pht,99,3760
912336989068954,pht,100,3798
912336989074419,pht,101,4054
912336989076902,pht,102,3880
912336989079289,pht,103,3776
912336989081658,pht,104,3818
912336989083976,pht,105,3754
912336989086318,pht,106,3854
912336989088607,pht,107,3774
912336989090858,pht,108,3732
912336989093127,pht,109,3866
912336989095417,pht,110,3790
912336989097694,pht,111,3716
912336989099958,pht,112,3776
912336989102244,pht,113,3840
912336989104546,pht,114,3846
912336989106814,pht,115,3784
912336989109078,pht,116,3798
912336989111407,pht,117,3862
912336989113670,pht,118,3722
912336989116054,pht,119,3964
912336989118258,pht,120,3686
912336989120598,pht,121,3882
912336989122923,pht,122,3838
912336989125234,pht,123,3856
912336989127512,pht,124,3786
912336989129783,pht,125,3814
912336989132060,pht,126,3770
912336989134351,pht,127,3812
912336989136711,pht,128,3946
912336989138997,pht,129,3860
912336989141263,pht,130,3822
912336989143560,pht,131,3838
912336989145810,pht,132,3750
912336989148049,pht,133,3744
912336989150326,pht,134,3774
912336989152610,pht,135,3836
912336989154895,pht,136,3764
912336989157178,pht,137,3792
912336989159420,pht,138,3744
912336989161719,pht,139,3920
912336989163940,pht,140,3756
912336989166214,pht,141,3746
912336989168459,pht,142,3762
912336989170704,pht,143,3764
912336989173001,pht,144,3874
912336989175289,pht,145,3858
912336989177553,pht,146,3778
912336989179831,pht,147,3762
912336989182114,pht,148,3784
912336989184368,pht,149,3752
912336989186707,pht,150,3826
912336989188994,pht,151,3842
912336989191309,pht,152,3828
912336989193588,pht,153,3762
912336989195940,pht,154,3906
912336989198222,pht,155,3826
912336989200514,pht,156,3844
912336989202808,pht,157,3808
912336989205131,pht,158,3872
912336989207518,pht,159,3944
912336989209990,pht,160,4204
912336989212284,pht,161,3848
912336989214594,pht,162,3838
912336989216950,pht,163,3914
912336989219217,pht,164,3786
912336989221468,pht,165,3768
912336989223754,pht,166,3820
912336989226028,pht,167,3844
912336989228346,pht,168,3864
912336989230593,pht,169,3778
912336989232880,pht,170,3822
912336989235144,pht,171,3802
912336989237413,pht,172,3788
912336989239679,pht,173,3750
912336989241967,pht,174,3782
912336989244237,pht,175,3800
912336989246545,pht,176,3866
912336989248778,pht,177,3720
912336989251036,pht,178,3722
912336989253283,pht,179,3748
912336989255576,pht,180,3818
912336989257869,pht,181,3832
912336989260142,pht,182,3792
912336989262379,pht,183,3744
912336989264638,pht,184,3780
912336989266926,pht,185,3762
912336989269162,pht,186,3722
912336989271444,pht,187,3808
912336989273693,pht,188,3766
912336989275978,pht,189,3824
912336989278476,pht,190,4252
912336989280766,pht,191,3776
912336989283110,pht,192,3866
912336989285426,pht,193,3808
912336989287725,pht,194,3836
912336989289996,pht,195,3790
912336989292304,pht,196,3816
912336989294617,pht,197,3840
912336989296941,pht,198,3836
912336989299224,pht,199,3746
912336989301539,pht,200,3840
912336989313112,pht,201,3902
912336989315551,pht,202,3744
912336989317946,pht,203,3758
912336989320242,pht,204,3724
912336989322701,pht,205,3850
912336989324918,pht,206,3774
912336989327228,pht,207,3768
912336989329518,pht,208,3848
912336989331775,pht,209,3688
912336989334076,pht,210,3746
912336989336340,pht,211,3758
912336989338646,pht,212,3852
912336989340943,pht,213,3786
912336989343209,pht,214,3752
912336989345509,pht,215,3798
912336989347800,pht,216,3850
912336989350112,pht,217,3790
912336989352383,pht,218,3782
912336989354769,pht,219,3838
912336989357103,pht,220,3744
912336989359431,pht,221,3866
912336989361811,pht,222,3936
912336989364253,pht,223,4110
912336989366532,pht,224,3752
912336989368830,pht,225,3748
912336989371114,pht,226,3818
912336989373386,pht,227,3750
912336989375703,pht,228,3856
912336989377984,pht,229,3774
912336989380299,pht,230,3812
912336989382642,pht,231,3790
912336989384904,pht,232,3862
912336989387165,pht,233,3722
912336989389469,pht,234,3812
912336989391739,pht,235,3716
912336989393996,pht,236,3684
912336989396225,pht,237,3702
912336989398431,pht,238,3706
912336989400776,pht,239,3872
912336989403035,pht,240,3736
912336989405323,pht,241,3824
912336989407556,pht,242,3730
912336989409810,pht,243,3768
912336989412094,pht,244,3778
912336989414455,pht,245,3720
912336989416788,pht,246,3864
912336989419062,pht,247,3812
912336989421347,pht,248,3756
912336989423584,pht,249,3678
912336989425820,pht,250,3748
912336989428103,pht,251,3800
912336989430363,pht,252,3750
912336989432690,pht,253,3872
912336989435010,pht,254,3832
912336989437336,pht,255,3852
912336989439695,pht,256,3986
912336989442133,pht,257,3906
912336989444402,pht,258,3796
912336989446681,pht,259,3794
912336989449013,pht,260,3800
912336989451323,pht,261,3836
912336989453540,pht,262,3702
912336989455782,pht,263,3738
912336989458017,pht,264,3722
912336989460363,pht,265,3858
912336989462661,pht,266,3822
912336989464930,pht,267,3756
912336989467224,pht,268,3862
912336989469510,pht,269,3774
912336989471787,pht,270,3774
912336989474101,pht,271,3794
912336989476416,pht,272,3806
912336989478715,pht,273,3792
912336989480986,pht,274,3808
912336989483323,pht,275,3842
912336989485623,pht,276,3810
912336989487870,pht,277,3710
912336989490156,pht,278,3798
912336989492507,pht,279,3868
912336989494769,pht,280,3742
912336989497067,pht,281,3810
912336989499339,pht,282,3782
912336989501610,pht,283,3788
912336989503835,pht,284,3692
912336989506117,pht,285,3816
912336989508443,pht,286,3872
912336989510719,pht,287,3810
912336989513179,pht,288,4104
912336989515503,pht,289,3872
912336989517847,pht,290,3940
912336989520155,pht,291,3854
912336989522456,pht,292,3802
912336989524754,pht,293,3802
912336989527046,pht,294,3820
912336989529348,pht,295,3842
912336989531629,pht,296,3796
912336989533949,pht,297,3746
912336989536246,pht,298,3804
912336989538555,pht,299,3816
912336989540846,pht,300,3820
912336989549480,pht,301,3956
912336989551880,pht,302,3814
912336989554156,pht,303,3688
912336989556469,pht,304,3796
912336989558784,pht,305,3834
912336989561117,pht,306,3860
912336989563461,pht,307,3716
912336989565730,pht,308,3726
912336989568023,pht,309,3762
912336989570266,pht,310,3748
912336989572526,pht,311,3762
912336989574789,pht,312,3768
912336989577054,pht,313,3774
912336989579314,pht,314,3802
912336989581596,pht,315,3838
912336989583823,pht,316,3698
912336989586079,pht,317,3792
912336989588422,pht,318,3958
912336989590721,pht,319,3816
912336989592962,pht,320,3784
912336989595212,pht,321,3764
912336989597502,pht,322,3770
912336989599757,pht,323,3780
912336989602076,pht,324,3878
912336989604343,pht,325,3780
912336989606651,pht,326,3834
912336989608933,pht,327,3790
912336989611214,pht,328,3804
