ts_ns,freq_khz
1765054552946110324,1999979
1765054552966334707,2000000
1765054552986485385,2000040
1765054553006611591,2000000
1765054553026709286,2000000
1765054553046797489,2000000
1765054553066915736,2000000
1765054553087055062,1999979
1765054553107143128,2000000
1765054553127266120,1994814
1765054553147385969,2000000
1765054553167477468,2000000
1765054553187622890,2000000
1765054553207804286,1999979
1765054553227892002,1999979
1765054553247941635,1999959
1765054553268031034,2000000
1765054553288122048,1999979
1765054553308234239,2000000
1765054553328381750,1999979
1765054553348502366,2000000
1765054553368601662,2000000
1765054553388689625,2000000
1765054553408776868,1999979
1765054553428877599,2000000
1765054553449028512,2000000
1765054553469145864,2000000
1765054553489255888,2000000
1765054553509342440,2000020
1765054553529432192,2000020
