ts_ns,probe,iter,cycles
912400405104269,btb,0,3332
912400405126069,btb,1,2298
912400405127735,btb,2,2090
912400405129279,btb,3,2048
912400405130775,btb,4,2040
912400405132256,btb,5,2012
912400405133669,btb,6,2036
912400405135070,btb,7,1980
912400405136563,btb,8,2188
912400405138029,btb,9,2118
912400405139465,btb,10,2058
912400405140924,btb,11,2004
912400405142360,btb,12,1978
912400405143719,btb,13,1886
912400405145152,btb,14,2030
912400405146552,btb,15,1986
912400405148012,btb,16,2128
912400405149410,btb,17,2010
912400405150758,btb,18,1942
912400405152177,btb,19,2072
912400405153495,btb,20,1878
912400405154911,btb,21,2002
912400405156477,btb,22,2190
912400405157869,btb,23,2098
912400405159290,btb,24,2040
912400405160682,btb,25,1996
912400405162035,btb,26,1874
912400405163403,btb,27,1964
912400405164800,btb,28,1950
912400405166165,btb,29,1964
912400405167577,btb,30,2036
912400405169009,btb,31,2052
912400405170573,btb,32,2328
912400405171884,btb,33,1846
912400405173136,btb,34,1854
912400405174476,btb,35,1918
912400405175765,btb,36,1876
912400405177126,btb,37,2052
912400405178469,btb,38,1908
912400405179760,btb,39,1892
912400405181082,btb,40,1954
912400405182447,btb,41,1930
912400405183751,btb,42,1866
912400405185174,btb,43,2140
912400405186543,btb,44,1960
912400405187858,btb,45,1916
912400405189232,btb,46,1994
912400405190564,btb,47,1880
912400405191958,btb,48,1990
912400405193325,btb,49,1934
912400405194748,btb,50,1970
912400405196181,btb,51,2070
912400405197548,btb,52,1858
912400405199020,btb,53,2198
912400405200400,btb,54,1980
912400405201743,btb,55,1948
912400405203098,btb,56,1976
912400405204435,btb,57,1964
912400405205750,btb,58,1908
912400405207158,btb,59,2084
912400405208503,btb,60,1888
912400405209898,btb,61,1976
912400405211270,btb,62,1926
912400405212591,btb,63,1852
912400405213979,btb,64,1996
912400405215277,btb,65,1872
912400405216714,btb,66,2116
912400405218011,btb,67,1898
912400405219459,btb,68,2090
912400405220805,btb,69,1906
912400405222229,btb,70,2146
912400405223536,btb,71,1844
912400405224985,btb,72,2078
912400405226295,btb,73,1858
912400405227716,btb,74,2108
912400405229027,btb,75,1904
912400405230473,btb,76,2130
912400405231783,btb,77,1940
912400405233047,btb,78,1798
912400405234544,btb,79,2264
912400405235827,btb,80,1874
912400405237161,btb,81,1898
912400405238623,btb,82,2174
912400405239969,btb,83,1900
912400405241312,btb,84,1930
912400405242662,btb,85,1986
912400405243965,btb,86,1816
912400405245393,btb,87,2040
912400405246699,btb,88,1860
912400405248106,btb,89,2056
912400405249423,btb,90,1898
912400405250848,btb,91,2116
912400405252138,btb,92,1844
912400405253483,btb,93,1930
912400405254839,btb,94,1990
912400405256179,btb,95,1894
912400405257544,btb,96,1988
912400405258830,btb,97,1832
912400405260170,btb,98,1940
912400405261473,btb,99,1870
912400405262841,btb,100,1950
912400405266768,btb,101,2004
912400405268392,btb,102,2088
912400405269871,btb,103,1962
912400405271268,btb,104,1878
912400405272766,btb,105,2172
912400405274072,btb,106,1836
912400405275579,btb,107,2140
912400405277001,btb,108,2094
912400405278356,btb,109,1958
912400405279652,btb,110,1844
912400405280926,btb,111,1812
912400405282356,btb,112,2114
912400405283774,btb,113,2070
912400405285100,btb,114,1892
912400405286502,btb,115,1994
912400405287837,btb,116,1840
912400405289206,btb,117,1966
912400405290554,btb,118,1866
912400405291912,btb,119,1948
912400405293216,btb,120,1832
912400405294526,btb,121,1864
912400405295765,btb,122,1786
912400405297085,btb,123,1776
912400405298404,btb,124,1834
912400405299773,btb,125,1918
912400405301110,btb,126,1822
912400405302512,btb,127,1996
912400405303769,btb,128,1906
912400405305187,btb,129,1954
912400405306692,btb,130,2166
912400405308034,btb,131,1874
912400405309407,btb,132,1854
912400405310747,btb,133,1864
912400405312082,btb,134,1804
912400405313489,btb,135,1914
912400405314888,btb,136,1938
912400405316259,btb,137,1884
912400405317595,btb,138,1898
912400405318973,btb,139,1880
912400405320251,btb,140,1842
912400405321588,btb,141,1888
912400405322919,btb,142,1862
912400405324452,btb,143,2130
912400405326129,btb,144,2084
912400405327509,btb,145,2084
912400405328920,btb,146,2026
912400405330320,btb,147,2046
912400405331615,btb,148,1866
912400405333060,btb,149,2114
912400405334432,btb,150,2008
912400405335812,btb,151,2000
912400405337116,btb,152,1898
912400405338463,btb,153,1950
912400405339760,btb,154,1890
912400405341085,btb,155,1942
912400405342443,btb,156,1968
912400405343751,btb,157,1872
912400405345075,btb,158,1930
912400405346468,btb,159,2056
912400405347775,btb,160,1852
912400405349213,btb,161,2082
912400405350569,btb,162,1880
912400405351917,btb,163,1894
912400405353237,btb,164,1868
912400405354542,btb,165,1854
912400405355850,btb,166,1866
912400405357159,btb,167,1856
912400405358500,btb,168,1892
912400405359851,btb,169,1926
912400405361161,btb,170,1858
912400405362519,btb,171,1978
912400405363830,btb,172,1880
912400405365093,btb,173,1842
912400405366351,btb,174,1810
912400405367608,btb,175,1812
912400405368913,btb,176,1888
912400405370247,btb,177,1916
912400405371543,btb,178,1836
912400405372813,btb,179,1822
912400405374113,btb,180,1886
912400405375371,btb,181,1798
912400405376620,btb,182,1798
912400405377864,btb,183,1782
912400405379339,btb,184,2132
912400405380562,btb,185,1798
912400405381915,btb,186,1982
912400405383204,btb,187,1830
912400405384645,btb,188,2098
912400405385942,btb,189,1864
912400405387301,btb,190,1946
912400405388647,btb,191,1916
912400405389977,btb,192,1844
912400405391269,btb,193,1840
912400405392624,btb,194,1944
912400405393981,btb,195,1884
912400405395287,btb,196,1874
912400405396621,btb,197,1874
912400405397947,btb,198,1892
912400405399225,btb,199,1806
912400405400528,btb,200,1864
912400405410969,btb,201,2156
912400405412501,btb,202,1872
912400405413981,btb,203,1932
912400405415404,btb,204,1924
912400405416797,btb,205,1882
912400405418173,btb,206,1948
912400405419570,btb,207,1972
912400405420924,btb,208,1860
912400405422237,btb,209,1818
912400405423617,btb,210,1944
912400405424991,btb,211,1924
912400405426498,btb,212,2238
912400405427795,btb,213,1814
912400405429106,btb,214,1976
912400405430455,btb,215,1894
912400405431947,btb,216,2074
912400405433323,btb,217,1906
912400405434746,btb,218,2130
912400405436030,btb,219,1844
912400405437377,btb,220,1952
912400405438775,btb,221,1992
912400405440153,btb,222,1946
912400405441515,btb,223,1946
912400405442851,btb,224,1918
912400405444189,btb,225,1914
912400405445711,btb,226,2236
912400405447045,btb,227,1894
912400405448355,btb,228,1866
912400405449716,btb,229,1918
912400405451033,btb,230,1868
912400405452339,btb,231,1882
912400405453629,btb,232,1860
912400405454977,btb,233,1948
912400405456321,btb,234,1948
912400405457682,btb,235,1868
912400405459021,btb,236,1890
912400405460362,btb,237,1900
912400405461681,btb,238,1866
912400405463070,btb,239,1964
912400405464417,btb,240,1902
912400405465718,btb,241,1872
912400405467053,btb,242,1884
912400405468390,btb,243,1910
912400405469723,btb,244,1924
912400405471076,btb,245,1938
912400405472446,btb,246,1984
912400405473808,btb,247,1910
912400405475156,btb,248,1888
912400405476464,btb,249,1832
912400405477839,btb,250,1950
912400405479078,btb,251,1794
912400405480424,btb,252,1952
912400405481667,btb,253,1754
912400405483001,btb,254,1894
912400405484412,btb,255,1990
912400405485762,btb,256,1878
912400405487089,btb,257,1910
912400405488389,btb,258,1886
912400405489786,btb,259,1956
912400405491134,btb,260,1938
912400405492522,btb,261,2012
912400405493845,btb,262,1886
912400405495221,btb,263,2000
912400405496515,btb,264,1846
912400405497928,btb,265,2062
912400405499232,btb,266,1876
912400405500630,btb,267,1976
912400405501961,btb,268,1840
912400405503301,btb,269,1886
912400405504652,btb,270,1914
912400405506107,btb,271,2128
912400405507404,btb,272,1882
912400405508681,btb,273,1804
912400405510028,btb,274,1958
912400405511406,btb,275,2066
912400405512767,btb,276,1848
912400405514181,btb,277,2058
912400405515436,btb,278,1790
912400405516817,btb,279,2000
912400405518143,btb,280,1886
912400405519490,btb,281,1960
912400405520793,btb,282,1840
912400405522170,btb,283,1984
912400405523487,btb,284,1876
912400405524854,btb,285,1940
912400405526170,btb,286,1888
912400405527580,btb,287,2110
912400405529019,btb,288,2074
912400405530558,btb,289,2250
912400405531899,btb,290,1916
912400405533207,btb,291,1850
912400405534547,btb,292,1890
912400405535855,btb,293,1900
912400405537182,btb,294,1942
912400405538520,btb,295,1966
912400405539798,btb,296,1818
912400405541177,btb,297,1980
912400405542624,btb,298,1948
912400405543978,btb,299,1938
912400405545315,btb,300,1894
912400405552795,btb,301,1974
912400405554274,btb,302,1960
912400405555661,btb,303,1980
912400405557109,btb,304,2120
912400405558423,btb,305,1894
912400405559723,btb,306,1814
912400405561040,btb,307,1886
912400405562368,btb,308,1952
912400405563701,btb,309,1884
912400405565018,btb,310,1902
912400405566310,btb,311,1834
912400405567736,btb,312,2100
912400405569247,btb,313,2192
912400405570691,btb,314,1994
912400405572057,btb,315,1958
912400405573391,btb,316,1870
912400405574711,btb,317,1896
912400405576076,btb,318,1988
912400405577402,btb,319,1906
912400405578709,btb,320,1814
912400405580066,btb,321,1982
912400405581426,btb,322,1932
912400405582740,btb,323,1892
912400405584064,btb,324,1892
912400405585497,btb,325,2104
912400405586824,btb,326,1898
912400405588143,btb,327,1876
912400405589503,btb,328,1974
912400405590923,btb,329,2042
912400405592269,btb,330,1944
912400405593721,btb,331,2160
912400405595073,btb,332,2004
912400405596432,btb,333,1900
912400405597759,btb,334,1840
912400405599064,btb,335,1878
912400405600389,btb,336,1910
912400405601720,btb,337,1886
912400405603031,btb,338,1854
912400405604284,btb,339,1840
912400405605590,btb,340,1846
912400405606905,btb,341,1888
912400405608211,btb,342,1888
912400405609540,btb,343,1920
912400405610853,btb,344,1902
912400405612163,btb,345,1862
912400405613468,btb,346,1880
912400405614772,btb,347,1914
912400405616066,btb,348,1834
912400405617461,btb,349,2036
912400405618800,btb,350,1920
912400405620250,btb,351,2142
912400405621587,btb,352,1896
912400405622932,btb,353,1946
912400405624210,btb,354,1788
912400405625588,btb,355,1942
912400405626952,btb,356,1970
912400405628425,btb,357,2170
912400405629738,btb,358,1808
912400405631177,btb,359,2086
912400405632476,btb,360,1850
912400405633840,btb,361,1960
912400405635190,btb,362,1934
912400405636627,btb,363,2110
912400405638025,btb,364,2048
912400405639380,btb,365,1976
912400405640672,btb,366,1826
912400405641982,btb,367,1854
912400405643282,btb,368,1860
912400405644558,btb,369,1850
912400405645922,btb,370,1948
912400405647340,btb,371,2104
912400405648658,btb,372,1818
912400405649980,btb,373,1866
912400405651310,btb,374,1902
912400405652667,btb,375,1954
912400405654061,btb,376,1980
912400405655337,btb,377,1786
912400405656629,btb,378,1832
912400405657959,btb,379,1910
912400405659257,btb,380,1818
912400405660644,btb,381,1964
912400405661955,btb,382,1856
912400405663195,btb,383,1808
912400405664469,btb,384,1852
912400405665779,btb,385,1928
912400405667072,btb,386,1864
912400405668351,btb,387,1834
912400405669692,btb,388,1938
912400405671016,btb,389,1928
912400405672295,btb,390,1868
912400405673598,btb,391,1966
912400405674901,btb,392,1896
912400405676256,btb,393,1954
912400405677565,btb,394,1896
912400405678911,btb,395,1970
912400405680315,btb,396,2076
912400405681829,btb,397,2098
912400405683349,btb,398,1946
912400405684696,btb,399,1924
912400405686003,btb,400,1862
912400405689499,btb,401,1934
912400405690916,btb,402,1846
912400405692346,btb,403,1994
912400405693652,btb,404,1824
912400405694933,btb,405,1814
912400405696259,btb,406,1856
912400405697599,btb,407,1910
912400405698926,btb,408,1880
912400405700263,btb,409,1896
912400405701586,btb,410,1900
912400405702939,btb,411,1948
912400405704248,btb,412,1868
912400405705568,btb,413,1908
