ts_ns,freq_khz
1765054595932055840,2000000
1765054595952275551,2000000
1765054595972370814,2000020
1765054595992455360,1999979
1765054596012548442,2000040
1765054596032676989,2000000
1765054596052788201,2000000
1765054596072941008,2000000
1765054596093035564,1999977
1765054596113127152,2000020
1765054596133220147,2000000
1765054596153332458,2000000
1765054596173421246,2000000
1765054596193559533,1999979
1765054596213716031,2000020
1765054596233868918,1963296
1765054596254012463,2000000
1765054596274102527,2000000
