ts_ns,probe,iter,cycles
913428931454330,pht,0,6046
913428931477852,pht,1,4030
913428931480712,pht,2,3880
913428931483337,pht,3,4300
913428931485804,pht,4,4094
913428931488264,pht,5,4202
913428931490716,pht,6,4080
913428931493062,pht,7,3940
913428931495502,pht,8,4108
913428931497829,pht,9,3782
913428931500286,pht,10,4138
913428931502828,pht,11,4178
913428931505171,pht,12,3940
913428931507494,pht,13,3838
913428931509910,pht,14,4126
913428931512182,pht,15,3786
913428931514452,pht,16,3824
913428931516817,pht,17,3952
913428931519185,pht,18,3934
913428931521606,pht,19,4050
913428931523996,pht,20,4016
913428931526409,pht,21,4074
913428931528955,pht,22,4270
913428931531282,pht,23,3904
913428931533775,pht,24,4262
913428931536085,pht,25,3872
913428931538437,pht,26,3944
913428931540748,pht,27,3834
913428931543179,pht,28,4076
913428931545562,pht,29,3922
913428931547989,pht,30,4132
913428931550253,pht,31,3762
913428931552626,pht,32,3958
913428931554870,pht,33,3816
913428931557185,pht,34,3806
913428931559497,pht,35,3920
913428931561867,pht,36,4036
913428931564270,pht,37,4030
913428931566574,pht,38,3832
913428931568925,pht,39,3964
913428931571288,pht,40,3964
913428931573590,pht,41,3794
913428931575837,pht,42,3724
913428931578206,pht,43,4010
913428931580542,pht,44,3908
913428931582842,pht,45,3778
913428931585204,pht,46,3984
913428931587480,pht,47,3816
913428931589809,pht,48,3854
913428931592094,pht,49,3866
913428931594370,pht,50,3758
913428931596636,pht,51,3780
913428931599099,pht,52,3866
913428931601437,pht,53,3922
913428931603818,pht,54,3964
913428931606110,pht,55,3782
913428931608429,pht,56,3862
913428931610752,pht,57,3888
913428931613073,pht,58,3852
913428931615404,pht,59,3922
913428931617748,pht,60,3932
913428931620144,pht,61,4000
913428931622487,pht,62,3954
913428931624801,pht,63,3884
913428931627087,pht,64,3820
913428931629478,pht,65,3894
913428931631801,pht,66,3904
913428931634157,pht,67,3914
913428931636501,pht,68,3882
913428931638796,pht,69,3800
913428931641108,pht,70,3848
913428931643334,pht,71,3752
913428931645559,pht,72,3750
913428931647814,pht,73,3698
913428931650085,pht,74,3752
913428931652317,pht,75,3684
913428931654587,pht,76,3820
913428931656906,pht,77,3800
913428931659193,pht,78,3792
913428931661453,pht,79,3790
913428931663709,pht,80,3766
913428931665950,pht,81,3698
913428931668259,pht,82,3844
913428931670561,pht,83,3778
913428931672801,pht,84,3750
913428931675138,pht,85,3888
913428931677430,pht,86,3820
913428931679734,pht,87,3786
913428931682088,pht,88,3852
913428931684377,pht,89,3874
913428931686668,pht,90,3788
913428931688949,pht,91,3806
913428931691287,pht,92,3928
913428931693599,pht,93,3870
913428931695906,pht,94,3892
913428931698209,pht,95,3854
913428931700537,pht,96,3886
913428931702862,pht,97,3846
913428931705146,pht,98,3794
913428931707451,pht,99,3782
913428931709728,pht,100,3750
913428931714847,pht,101,3774
913428931717288,pht,102,3792
913428931719619,pht,103,3726
913428931721899,pht,104,3684
913428931724232,pht,105,3858
913428931726516,pht,106,3752
913428931728801,pht,107,3792
913428931731095,pht,108,3754
913428931733337,pht,109,3762
913428931735672,pht,110,3864
913428931738115,pht,111,4088
913428931740509,pht,112,3924
913428931742926,pht,113,4000
913428931745345,pht,114,3996
913428931747846,pht,115,4142
913428931750219,pht,116,3960
913428931752582,pht,117,3950
913428931754930,pht,118,3914
913428931757381,pht,119,4112
913428931759815,pht,120,4108
913428931762275,pht,121,4114
913428931764654,pht,122,3998
913428931767074,pht,123,4030
913428931769458,pht,124,3998
913428931771861,pht,125,4014
913428931775548,pht,126,6322
913428931778058,pht,127,4184
913428931780544,pht,128,4166
913428931782868,pht,129,3952
913428931785273,pht,130,4002
913428931787710,pht,131,4058
913428931790078,pht,132,3962
913428931792515,pht,133,3960
913428931794841,pht,134,3950
913428931797256,pht,135,3996
913428931799623,pht,136,3944
913428931802022,pht,137,4032
913428931804465,pht,138,4082
