run_id,mean,median,std,min,max,p10,p90,p99,skew,kurtosis,count,probe,model_tag,quant,ctx,npredict,decoding,temp,repeat_idx,prompt_label,prompt
20251205T213508Z-artemisia-v0a56-btb-tinyllama_1p1b-q4_0-c512-n128-g-seed42-r001,1491.1,1515.0,308.0191084669702,1346,12484,1358.0,1610.0,1878.12,30.38541010654123,1080.1231971285629,1500,btb,tinyllama_1p1b,q4_0,512,128,greedy,0.0,1,math,Compute the integral of x^3 * e^(-x^2/2) from 0 to infinity. Show all substitution steps clearly.
20251205T213509Z-artemisia-v0a56-btb-tinyllama_1p1b-q4_0-c512-n128-g-seed42-r002,1994.888,1950.0,437.48722210178295,1684,18172,1844.0,2186.0,2256.08,33.74812317648267,1245.0626237179079,1500,btb,tinyllama_1p1b,q4_0,512,128,greedy,0.0,2,math,Compute the integral of x^3 * e^(-x^2/2) from 0 to infinity. Show all substitution steps clearly.
20251205T213509Z-artemisia-v0a56-btb-tinyllama_1p1b-q4_0-c512-n128-g-seed42-r003,1945.124,1930.0,121.3714078208879,1654,2822,1813.8,2096.0,2304.02,1.180279624951705,3.9155640736626056,1500,btb,tinyllama_1p1b,q4_0,512,128,greedy,0.0,3,math,Compute the integral of x^3 * e^(-x^2/2) from 0 to infinity. Show all substitution steps clearly.
20251205T213509Z-artemisia-v0a56-btb-tinyllama_1p1b-q4_0-c512-n128-g-seed42-r004,1989.5973333333334,1964.0,116.36524584191254,1738,2464,1856.0,2146.0,2260.02,0.5364564784249848,-0.2841750142553705,1500,btb,tinyllama_1p1b,q4_0,512,128,greedy,0.0,4,math,Compute the integral of x^3 * e^(-x^2/2) from 0 to infinity. Show all substitution steps clearly.
20251205T213510Z-artemisia-v0a56-btb-tinyllama_1p1b-q4_0-c512-n128-g-seed42-r005,1986.0413333333333,1948.0,228.13519837451767,1744,9472,1844.0,2160.0,2274.16,23.653536245712335,771.146874663534,1500,btb,tinyllama_1p1b,q4_0,512,128,greedy,0.0,5,math,Compute the integral of x^3 * e^(-x^2/2) from 0 to infinity. Show all substitution steps clearly.
20251205T213510Z-artemisia-v0a56-btb-tinyllama_1p1b-q4_0-c512-n128-g-seed42-r006,1969.3346666666666,1930.0,246.4951600082519,1796,10536,1867.8,2144.2000000000003,2338.04,28.139498581221197,971.0672366076428,1500,btb,tinyllama_1p1b,q4_0,512,128,greedy,0.0,6,math,Compute the integral of x^3 * e^(-x^2/2) from 0 to infinity. Show all substitution steps clearly.
20251205T213510Z-artemisia-v0a56-btb-tinyllama_1p1b-q4_0-c512-n128-g-seed42-r007,1948.7,1934.0,107.02773452383659,1718,2442,1826.0,2094.0,2206.02,0.5668695038892388,-0.08414953795075997,1500,btb,tinyllama_1p1b,q4_0,512,128,greedy,0.0,7,math,Compute the integral of x^3 * e^(-x^2/2) from 0 to infinity. Show all substitution steps clearly.
20251205T213511Z-artemisia-v0a56-btb-tinyllama_1p1b-q4_0-c512-n128-g-seed42-r008,1980.2053333333333,1933.0,441.8466258768475,1666,16052,1844.0,2134.0,2344.04,26.37772469511014,776.5089982141944,1500,btb,tinyllama_1p1b,q4_0,512,128,greedy,0.0,8,math,Compute the integral of x^3 * e^(-x^2/2) from 0 to infinity. Show all substitution steps clearly.
20251205T213511Z-artemisia-v0a56-btb-tinyllama_1p1b-q4_0-c512-n128-g-seed42-r009,2073.7786666666666,2028.0,360.81460585470694,1860,11194,1942.0,2218.0,2466.18,19.026813700793067,419.1290586222137,1500,btb,tinyllama_1p1b,q4_0,512,128,greedy,0.0,9,math,Compute the integral of x^3 * e^(-x^2/2) from 0 to infinity. Show all substitution steps clearly.
20251205T213511Z-artemisia-v0a56-btb-tinyllama_1p1b-q4_0-c512-n128-g-seed42-r010,1945.3266666666666,1900.0,280.9576351529224,1774,10020,1840.0,2110.4000000000005,2344.06,21.875526212151193,575.4068395829964,1500,btb,tinyllama_1p1b,q4_0,512,128,greedy,0.0,10,math,Compute the integral of x^3 * e^(-x^2/2) from 0 to infinity. Show all substitution steps clearly.
20251205T213511Z-artemisia-v0a56-btb-tinyllama_1p1b-q4_0-c512-n128-g-seed42-r011,1939.736,1904.0,118.46160730634938,1766,2580,1838.0,2100.0,2388.02,2.0079626540141753,4.475794262103422,1500,btb,tinyllama_1p1b,q4_0,512,128,greedy,0.0,11,math,Compute the integral of x^3 * e^(-x^2/2) from 0 to infinity. Show all substitution steps clearly.
