run_id,timestamp_utc,path,host,victim_cpu,attacker_cpu,probe,model_tag,quant,ctx,npredict,decoding,temp,seed,repeat_idx,prompt_label,prompt_hash
20251205T213508Z-artemisia-v0a56-btb-tinyllama_1p1b-q4_0-c512-n128-g-seed42-r001,2025-12-05T21:35:08Z,/mnt/ncsudrive/d/dhjani2/microarch_finalproject/logs/runs/20251205T213508Z-artemisia-v0a56-btb-tinyllama_1p1b-q4_0-c512-n128-g-seed42-r001,artemisia,0,56,btb,tinyllama_1p1b,q4_0,512,128,greedy,0.0,42,1,math,
20251205T213509Z-artemisia-v0a56-btb-tinyllama_1p1b-q4_0-c512-n128-g-seed42-r002,2025-12-05T21:35:09Z,/mnt/ncsudrive/d/dhjani2/microarch_finalproject/logs/runs/20251205T213509Z-artemisia-v0a56-btb-tinyllama_1p1b-q4_0-c512-n128-g-seed42-r002,artemisia,0,56,btb,tinyllama_1p1b,q4_0,512,128,greedy,0.0,42,2,math,
20251205T213509Z-artemisia-v0a56-btb-tinyllama_1p1b-q4_0-c512-n128-g-seed42-r003,2025-12-05T21:35:09Z,/mnt/ncsudrive/d/dhjani2/microarch_finalproject/logs/runs/20251205T213509Z-artemisia-v0a56-btb-tinyllama_1p1b-q4_0-c512-n128-g-seed42-r003,artemisia,0,56,btb,tinyllama_1p1b,q4_0,512,128,greedy,0.0,42,3,math,
20251205T213509Z-artemisia-v0a56-btb-tinyllama_1p1b-q4_0-c512-n128-g-seed42-r004,2025-12-05T21:35:09Z,/mnt/ncsudrive/d/dhjani2/microarch_finalproject/logs/runs/20251205T213509Z-artemisia-v0a56-btb-tinyllama_1p1b-q4_0-c512-n128-g-seed42-r004,artemisia,0,56,btb,tinyllama_1p1b,q4_0,512,128,greedy,0.0,42,4,math,
20251205T213510Z-artemisia-v0a56-btb-tinyllama_1p1b-q4_0-c512-n128-g-seed42-r005,2025-12-05T21:35:10Z,/mnt/ncsudrive/d/dhjani2/microarch_finalproject/logs/runs/20251205T213510Z-artemisia-v0a56-btb-tinyllama_1p1b-q4_0-c512-n128-g-seed42-r005,artemisia,0,56,btb,tinyllama_1p1b,q4_0,512,128,greedy,0.0,42,5,math,
20251205T213510Z-artemisia-v0a56-btb-tinyllama_1p1b-q4_0-c512-n128-g-seed42-r006,2025-12-05T21:35:10Z,/mnt/ncsudrive/d/dhjani2/microarch_finalproject/logs/runs/20251205T213510Z-artemisia-v0a56-btb-tinyllama_1p1b-q4_0-c512-n128-g-seed42-r006,artemisia,0,56,btb,tinyllama_1p1b,q4_0,512,128,greedy,0.0,42,6,math,
20251205T213510Z-artemisia-v0a56-btb-tinyllama_1p1b-q4_0-c512-n128-g-seed42-r007,2025-12-05T21:35:10Z,/mnt/ncsudrive/d/dhjani2/microarch_finalproject/logs/runs/20251205T213510Z-artemisia-v0a56-btb-tinyllama_1p1b-q4_0-c512-n128-g-seed42-r007,artemisia,0,56,btb,tinyllama_1p1b,q4_0,512,128,greedy,0.0,42,7,math,
20251205T213511Z-artemisia-v0a56-btb-tinyllama_1p1b-q4_0-c512-n128-g-seed42-r008,2025-12-05T21:35:11Z,/mnt/ncsudrive/d/dhjani2/microarch_finalproject/logs/runs/20251205T213511Z-artemisia-v0a56-btb-tinyllama_1p1b-q4_0-c512-n128-g-seed42-r008,artemisia,0,56,btb,tinyllama_1p1b,q4_0,512,128,greedy,0.0,42,8,math,
20251205T213511Z-artemisia-v0a56-btb-tinyllama_1p1b-q4_0-c512-n128-g-seed42-r009,2025-12-05T21:35:11Z,/mnt/ncsudrive/d/dhjani2/microarch_finalproject/logs/runs/20251205T213511Z-artemisia-v0a56-btb-tinyllama_1p1b-q4_0-c512-n128-g-seed42-r009,artemisia,0,56,btb,tinyllama_1p1b,q4_0,512,128,greedy,0.0,42,9,math,
20251205T213511Z-artemisia-v0a56-btb-tinyllama_1p1b-q4_0-c512-n128-g-seed42-r010,2025-12-05T21:35:11Z,/mnt/ncsudrive/d/dhjani2/microarch_finalproject/logs/runs/20251205T213511Z-artemisia-v0a56-btb-tinyllama_1p1b-q4_0-c512-n128-g-seed42-r010,artemisia,0,56,btb,tinyllama_1p1b,q4_0,512,128,greedy,0.0,42,10,math,
