ts_ns,probe,iter,cycles
828351627381037,pht,0,6154
828351627400656,pht,1,4060
828351627403414,pht,2,3792
828351627406025,pht,3,4268
828351627408549,pht,4,4164
828351627411073,pht,5,4200
828351627413467,pht,6,4014
828351627416050,pht,7,4344
828351627418611,pht,8,4340
828351627420884,pht,9,3800
828351627423290,pht,10,4074
828351627425851,pht,11,4128
828351627428180,pht,12,3930
828351627430477,pht,13,3838
828351627432973,pht,14,4234
828351627435255,pht,15,3832
828351627437610,pht,16,3996
828351627439994,pht,17,4012
828351627442359,pht,18,3966
828351627444739,pht,19,3990
828351627447129,pht,20,4022
828351627449519,pht,21,4018
828351627451896,pht,22,3938
828351627454239,pht,23,3934
828351627456797,pht,24,4374
828351627459150,pht,25,3926
828351627461449,pht,26,3852
828351627463773,pht,27,3902
828351627466281,pht,28,4204
828351627468761,pht,29,4200
828351627471226,pht,30,4144
828351627473546,pht,31,3848
828351627475940,pht,32,4004
828351627478245,pht,33,3870
828351627480559,pht,34,3876
828351627482905,pht,35,3952
828351627485330,pht,36,4054
828351627487726,pht,37,4004
828351627490055,pht,38,3840
828351627492430,pht,39,3964
828351627494764,pht,40,3902
828351627497082,pht,41,3856
828351627499381,pht,42,3828
828351627501739,pht,43,3958
828351627504032,pht,44,3864
828351627506303,pht,45,3800
828351627508650,pht,46,3946
828351627510889,pht,47,3724
828351627513225,pht,48,3898
828351627515538,pht,49,3854
828351627517824,pht,50,3782
828351627520129,pht,51,3840
828351627522480,pht,52,3956
828351627524822,pht,53,3926
828351627527229,pht,54,4056
828351627529523,pht,55,3862
828351627531918,pht,56,4062
828351627534219,pht,57,3844
828351627536501,pht,58,3790
828351627538884,pht,59,4030
828351627541375,pht,60,4214
828351627543778,pht,61,4016
828351627546206,pht,62,4072
828351627548517,pht,63,3830
828351627550815,pht,64,3804
828351627553098,pht,65,3806
828351627555386,pht,66,3810
828351627557733,pht,67,3908
828351627560055,pht,68,3866
828351627562407,pht,69,3956
828351627564662,pht,70,3772
828351627566970,pht,71,3886
828351627569259,pht,72,3828
828351627571535,pht,73,3774
828351627573812,pht,74,3806
828351627576153,pht,75,3896
828351627578479,pht,76,3888
828351627580698,pht,77,3682
828351627582970,pht,78,3790
828351627585248,pht,79,3782
828351627587502,pht,80,3730
828351627589758,pht,81,3750
828351627592076,pht,82,3854
828351627594388,pht,83,3848
828351627596638,pht,84,3770
828351627598916,pht,85,3810
828351627601205,pht,86,3822
828351627603527,pht,87,3888
828351627605923,pht,88,4002
828351627608285,pht,89,3924
828351627610601,pht,90,3838
828351627612916,pht,91,3862
828351627615275,pht,92,3958
828351627617629,pht,93,3906
828351627619989,pht,94,3952
828351627622326,pht,95,3908
828351627624645,pht,96,3852
828351627626944,pht,97,3828
828351627629282,pht,98,3866
828351627631595,pht,99,3810
828351627633904,pht,100,3792
828351627639265,pht,101,3928
828351627641764,pht,102,3838
828351627644097,pht,103,3800
828351627646426,pht,104,3810
828351627648735,pht,105,3790
828351627650984,pht,106,3686
828351627653274,pht,107,3784
828351627655552,pht,108,3778
828351627657813,pht,109,3764
828351627660074,pht,110,3762
828351627662316,pht,111,3762
828351627664568,pht,112,3766
828351627666849,pht,113,3812
828351627669103,pht,114,3778
828351627671393,pht,115,3768
828351627673709,pht,116,3836
828351627675996,pht,117,3750
828351627678276,pht,118,3808
828351627680559,pht,119,3816
828351627682823,pht,120,3772
828351627685121,pht,121,3822
828351627687415,pht,122,3842
828351627689683,pht,123,3776
828351627691983,pht,124,3844
828351627694209,pht,125,3728
828351627696540,pht,126,3896
828351627698913,pht,127,3964
828351627701329,pht,128,4076
828351627703591,pht,129,3766
828351627705887,pht,130,3832
828351627708178,pht,131,3810
828351627710449,pht,132,3750
828351627712749,pht,133,3834
828351627714995,pht,134,3742
828351627717269,pht,135,3798
828351627719541,pht,136,3782
828351627721805,pht,137,3792
828351627724130,pht,138,3888
828351627726455,pht,139,3840
828351627728739,pht,140,3802
828351627730967,pht,141,3696
828351627733221,pht,142,3740
828351627735504,pht,143,3810
828351627737780,pht,144,3782
828351627740035,pht,145,3734
828351627742328,pht,146,3816
828351627744576,pht,147,3714
828351627746888,pht,148,3876
828351627749140,pht,149,3740
828351627751398,pht,150,3772
828351627753650,pht,151,3766
828351627755900,pht,152,3734
828351627758167,pht,153,3808
828351627760481,pht,154,3906
828351627762783,pht,155,3846
828351627765107,pht,156,3882
828351627767378,pht,157,3756
828351627769690,pht,158,3852
828351627772053,pht,159,3954
828351627774547,pht,160,4232
828351627776878,pht,161,3896
828351627779221,pht,162,3932
828351627781507,pht,163,3818
828351627783776,pht,164,3768
828351627786018,pht,165,3726
828351627788274,pht,166,3776
828351627790516,pht,167,3738
828351627792777,pht,168,3768
828351627795054,pht,169,3788
828351627797338,pht,170,3790
828351627799613,pht,171,3806
828351627801875,pht,172,3780
828351627804161,pht,173,3820
828351627806457,pht,174,3834
828351627808694,pht,175,3710
828351627810946,pht,176,3756
828351627813212,pht,177,3794
828351627815463,pht,178,3752
828351627817721,pht,179,3784
828351627819956,pht,180,3722
828351627822229,pht,181,3790
828351627824520,pht,182,3844
828351627826757,pht,183,3724
828351627829036,pht,184,3800
828351627831329,pht,185,3792
828351627833645,pht,186,3842
828351627835939,pht,187,3812
828351627838282,pht,188,3918
828351627840607,pht,189,3882
828351627843136,pht,190,4308
828351627845472,pht,191,3892
828351627847720,pht,192,3744
828351627850003,pht,193,3812
828351627852262,pht,194,3780
828351627854518,pht,195,3754
828351627856794,pht,196,3776
828351627859086,pht,197,3810
828351627861397,pht,198,3858
828351627863672,pht,199,3790
828351627866080,pht,200,4042
828351627876737,pht,201,4014
828351627879170,pht,202,3830
828351627881478,pht,203,3750
828351627883756,pht,204,3786
828351627886004,pht,205,3706
828351627888295,pht,206,3798
828351627890598,pht,207,3830
828351627892874,pht,208,3798
828351627895113,pht,209,3714
828351627897360,pht,210,3708
828351627899612,pht,211,3728
828351627901893,pht,212,3794
828351627904173,pht,213,3834
828351627906475,pht,214,3824
828351627908785,pht,215,3832
828351627911129,pht,216,3884
828351627913450,pht,217,3892
828351627915698,pht,218,3758
828351627918002,pht,219,3808
828351627920309,pht,220,3850
828351627922596,pht,221,3840
828351627925000,pht,222,4006
828351627927484,pht,223,4210
828351627929821,pht,224,3892
828351627932087,pht,225,3796
828351627934385,pht,226,3808
828351627936683,pht,227,3818
828351627938985,pht,228,3830
828351627941268,pht,229,3786
828351627943564,pht,230,3780
828351627945854,pht,231,3816
828351627948147,pht,232,3796
828351627950453,pht,233,3832
828351627952732,pht,234,3788
828351627954997,pht,235,3756
828351627957256,pht,236,3804
828351627959540,pht,237,3830
828351627961860,pht,238,3846
828351627964140,pht,239,3776
828351627966442,pht,240,3826
828351627968720,pht,241,3760
828351627971019,pht,242,3816
828351627973324,pht,243,3794
828351627975623,pht,244,3832
828351627977935,pht,245,3856
828351627980223,pht,246,3804
828351627982500,pht,247,3808
828351627984753,pht,248,3756
828351627987010,pht,249,3772
828351627989327,pht,250,3866
828351627991632,pht,251,3834
828351627993938,pht,252,3852
828351627996235,pht,253,3804
828351627998508,pht,254,3792
828351628004848,pht,255,11780
828351628007481,pht,256,3952
828351628009896,pht,257,3930
828351628012244,pht,258,3866
828351628014570,pht,259,3864
828351628016886,pht,260,3850
828351628019189,pht,261,3814
828351628021503,pht,262,3848
828351628023812,pht,263,3828
828351628026079,pht,264,3754
828351628028394,pht,265,3862
828351628030651,pht,266,3744
828351628032930,pht,267,3782
828351628035199,pht,268,3790
828351628037467,pht,269,3774
828351628039739,pht,270,3802
828351628041993,pht,271,3766
828351628044266,pht,272,3788
828351628046584,pht,273,3872
828351628048873,pht,274,3832
828351628051122,pht,275,3734
828351628053394,pht,276,3810
828351628055694,pht,277,3832
828351628057944,pht,278,3722
828351628060224,pht,279,3800
828351628062524,pht,280,3824
828351628064815,pht,281,3794
828351628067101,pht,282,3838
828351628069389,pht,283,3784
828351628071631,pht,284,3738
828351628073908,pht,285,3790
828351628076207,pht,286,3830
828351628078462,pht,287,3756
828351628080914,pht,288,4158
828351628083269,pht,289,3938
828351628085591,pht,290,3868
828351628087894,pht,291,3858
828351628090120,pht,292,3716
828351628092356,pht,293,3700
828351628094607,pht,294,3738
828351628096877,pht,295,3746
828351628099167,pht,296,3824
828351628101429,pht,297,3770
828351628103735,pht,298,3804
828351628106022,pht,299,3808
828351628108280,pht,300,3760
828351628121939,pht,301,4072
828351628124432,pht,302,3856
828351628126851,pht,303,3844
828351628129148,pht,304,3792
828351628131434,pht,305,3806
828351628133712,pht,306,3768
828351628135973,pht,307,3722
828351628138242,pht,308,3782
828351628140487,pht,309,3698
828351628142771,pht,310,3764
828351628145046,pht,311,3770
828351628147277,pht,312,3694
828351628149546,pht,313,3776
828351628151836,pht,314,3788
828351628154184,pht,315,3950
828351628156484,pht,316,3832
828351628158797,pht,317,3844
828351628161221,pht,318,4024
828351628163538,pht,319,3838
828351628165817,pht,320,3748
828351628168141,pht,321,3886
828351628170407,pht,322,3788
828351628172677,pht,323,3762
828351628174968,pht,324,3822
828351628177213,pht,325,3742
828351628179536,pht,326,3874
828351628181826,pht,327,3808
828351628184143,pht,328,3884
828351628186407,pht,329,3766
828351628188728,pht,330,3858
828351628191046,pht,331,3852
828351628193337,pht,332,3830
828351628195602,pht,333,3732
828351628197884,pht,334,3778
828351628200171,pht,335,3810
828351628202418,pht,336,3738
828351628204670,pht,337,3722
828351628206954,pht,338,3794
828351628209219,pht,339,3752
828351628211527,pht,340,3822
828351628213823,pht,341,3796
828351628216113,pht,342,3826
828351628218390,pht,343,3786
828351628220682,pht,344,3826
828351628222964,pht,345,3774
828351628225243,pht,346,3778
828351628227514,pht,347,3770
828351628229824,pht,348,3820
828351628232132,pht,349,3828
828351628234511,pht,350,3994
828351628236904,pht,351,4006
828351628239223,pht,352,3858
828351628241526,pht,353,3866
828351628243863,pht,354,3868
828351628246139,pht,355,3788
828351628248427,pht,356,3804
828351628250706,pht,357,3840
