ts_ns,probe,iter,cycles
829496925409380,btb,0,1714
829496928466968,btb,1,1702
829496928468711,btb,2,1620
829496928469957,btb,3,1596
829496928471022,btb,4,1596
829496928472033,btb,5,1514
829496928473034,btb,6,1504
829496928474074,btb,7,1598
829496928475062,btb,8,1486
829496928476030,btb,9,1450
829496928477012,btb,10,1478
829496928478130,btb,11,1612
829496928479163,btb,12,1474
829496928480229,btb,13,1624
829496928481316,btb,14,1666
829496928482349,btb,15,1580
829496928483335,btb,16,1484
829496928484363,btb,17,1576
829496928485402,btb,18,1600
829496928486399,btb,19,1508
829496928487372,btb,20,1456
829496928488423,btb,21,1626
829496928489393,btb,22,1446
829496928490459,btb,23,1652
829496928491414,btb,24,1424
829496928492400,btb,25,1480
829496928493404,btb,26,1484
829496928494387,btb,27,1480
829496928495448,btb,28,1644
829496928496488,btb,29,1600
829496928497468,btb,30,1474
829496928498463,btb,31,1502
829496928499512,btb,32,1616
829496928500530,btb,33,1562
829496928501558,btb,34,1592
829496928502488,btb,35,1368
829496928503514,btb,36,1588
829496928504430,btb,37,1364
829496928505436,btb,38,1550
829496928506456,btb,39,1548
829496928507491,btb,40,1592
829496928508449,btb,41,1426
829496928509500,btb,42,1626
829496928510512,btb,43,1554
829496928511524,btb,44,1554
829496928512457,btb,45,1392
829496928513387,btb,46,1398
829496928514399,btb,47,1560
829496928515430,btb,48,1580
829496928516521,btb,49,1698
829496928517535,btb,50,1546
829496928518570,btb,51,1592
829496928519514,btb,52,1422
829496928520522,btb,53,1552
829496928521533,btb,54,1552
829496928522556,btb,55,1578
829496928523572,btb,56,1560
829496928524498,btb,57,1354
829496928525420,btb,58,1382
829496928526334,btb,59,1364
829496928527301,btb,60,1472
829496928528308,btb,61,1544
829496928529316,btb,62,1548
829496928530326,btb,63,1550
829496928531242,btb,64,1362
829496928532249,btb,65,1552
829496928533161,btb,66,1354
829496928534159,btb,67,1536
829496928535188,btb,68,1586
829496928536111,btb,69,1370
829496928537108,btb,70,1536
829496928538022,btb,71,1356
829496928539023,btb,72,1540
829496928539956,btb,73,1396
829496928540978,btb,74,1564
829496928542011,btb,75,1600
829496928542926,btb,76,1358
829496928543846,btb,77,1380
829496928544764,btb,78,1370
829496928545870,btb,79,1752
829496928546801,btb,80,1382
829496928547723,btb,81,1382
829496928548762,btb,82,1614
829496928549674,btb,83,1354
829496928550691,btb,84,1568
829496928551603,btb,85,1356
829496928552601,btb,86,1528
829496928553525,btb,87,1380
829496928554454,btb,88,1396
829496928555479,btb,89,1586
829496928556481,btb,90,1534
829496928557399,btb,91,1368
829496928558396,btb,92,1530
829496928559307,btb,93,1352
829496928560306,btb,94,1534
829496928561316,btb,95,1554
829496928562228,btb,96,1354
829496928563229,btb,97,1540
829496928564142,btb,98,1354
829496928565140,btb,99,1532
829496928566053,btb,100,1354
829496928569607,btb,101,2026
829496928570674,btb,102,1464
829496928571784,btb,103,1584
829496928572771,btb,104,1436
829496928573741,btb,105,1440
829496928574704,btb,106,1428
829496928575640,btb,107,1384
829496928576570,btb,108,1372
829496928577515,btb,109,1394
829496928578441,btb,110,1374
829496928579474,btb,111,1586
829496928580416,btb,112,1396
829496928581347,btb,113,1382
829496928582265,btb,114,1360
829496928583182,btb,115,1354
829496928584226,btb,116,1614
829496928585148,btb,117,1356
829496928586069,btb,118,1364
829496928586988,btb,119,1362
829496928588004,btb,120,1554
829496928588938,btb,121,1378
829496928589978,btb,122,1598
829496928591014,btb,123,1586
829496928592021,btb,124,1530
829496928593131,btb,125,1732
829496928594142,btb,126,1532
829496928595063,btb,127,1350
829496928596070,btb,128,1532
829496928596998,btb,129,1368
829496928597940,btb,130,1402
829496928598863,btb,131,1356
829496928599871,btb,132,1532
829496928600801,btb,133,1372
829496928601810,btb,134,1538
829496928602848,btb,135,1588
829496928603863,btb,136,1542
829496928604807,btb,137,1396
829496928605831,btb,138,1570
829496928606763,btb,139,1374
829496928607711,btb,140,1416
829496928608652,btb,141,1392
829496928609663,btb,142,1534
829496928610588,btb,143,1362
829496928611619,btb,144,1578
829496928612553,btb,145,1382
829496928613584,btb,146,1578
829496928614661,btb,147,1666
829496928615692,btb,148,1572
829496928616729,btb,149,1588
829496928617739,btb,150,1534
829496928618788,btb,151,1610
829496928619798,btb,152,1532
829496928620731,btb,153,1378
829496928621738,btb,154,1532
829496928622664,btb,155,1366
829496928623673,btb,156,1532
829496928624598,btb,157,1362
829496928625606,btb,158,1540
829496928626642,btb,159,1584
829496928627654,btb,160,1534
829496928628764,btb,161,1734
829496928629710,btb,162,1404
829496928630631,btb,163,1354
829496928631957,btb,164,2166
829496928633394,btb,165,1970
829496928635031,btb,166,2266
829496928636569,btb,167,2048
829496928638082,btb,168,1930
829496928639464,btb,169,1442
829496928640418,btb,170,1382
829496928641434,btb,171,1538
