ts_ns,probe,iter,cycles
830483014028809,cache,0,111112
830483014055511,cache,1,24374
830483014067859,cache,2,23662
830483014080023,cache,3,23624
830483014092087,cache,4,23592
830483014104180,cache,5,23656
830483014116241,cache,6,23600
830483014128315,cache,7,23628
830483014140408,cache,8,23648
830483014152470,cache,9,23594
830483014164570,cache,10,23658
830483014176713,cache,11,23610
830483014188789,cache,12,23610
830483014200881,cache,13,23650
830483014212939,cache,14,23588
830483014225028,cache,15,23642
830483014237108,cache,16,23626
830483014249162,cache,17,23590
830483014261254,cache,18,23656
830483014273320,cache,19,23606
830483014285395,cache,20,23620
830483014297476,cache,21,23654
830483014309530,cache,22,23588
830483014321618,cache,23,23646
830483014333693,cache,24,23620
830483014345749,cache,25,23598
830483014357842,cache,26,23658
830483014369901,cache,27,23604
830483014381981,cache,28,23628
830483014394066,cache,29,23646
830483014406131,cache,30,23590
830483014418221,cache,31,23656
830483014430286,cache,32,23618
830483014442350,cache,33,23610
830483014454437,cache,34,23660
830483014466493,cache,35,23588
830483014478578,cache,36,23640
830483014490651,cache,37,23636
830483014502709,cache,38,23598
830483014514790,cache,39,23658
830483014526854,cache,40,23602
830483014538928,cache,41,23614
830483014551021,cache,42,23650
830483014563079,cache,43,23584
830483014575171,cache,44,23654
830483014587248,cache,45,23622
830483014599315,cache,46,23600
830483014611413,cache,47,23666
830483014623471,cache,48,23588
830483014635556,cache,49,23634
830483014647645,cache,50,23642
830483014659695,cache,51,23582
830483014671786,cache,52,23654
830483014683861,cache,53,23608
830483014695926,cache,54,23606
830483014708018,cache,55,23656
830483014720077,cache,56,23590
830483014732157,cache,57,23640
830483014744244,cache,58,23630
830483014756310,cache,59,23598
830483014768407,cache,60,23662
830483014780470,cache,61,23608
830483014792552,cache,62,23614
830483014804645,cache,63,23652
830483014816705,cache,64,23594
830483014828800,cache,65,23646
830483014840878,cache,66,23620
830483014852944,cache,67,23598
830483014865038,cache,68,23664
830483014877096,cache,69,23594
830483014889167,cache,70,23630
830483014901252,cache,71,23634
830483014913310,cache,72,23590
830483014925408,cache,73,23660
830483014937478,cache,74,23618
830483014949540,cache,75,23606
830483014961632,cache,76,23654
830483014973689,cache,77,23584
830483014985780,cache,78,23654
830483014997859,cache,79,23636
830483015028563,cache,80,60878
830483015040730,cache,81,23618
830483015052869,cache,82,23652
830483015064945,cache,83,23608
830483015077025,cache,84,23614
830483015089121,cache,85,23650
830483015101179,cache,86,23588
