ts_ns,probe,iter,cycles
830523800218071,tlb,0,3660
830523800236695,tlb,1,9230
830523800241433,tlb,2,8000
830523800244792,tlb,3,6136
830523800248898,tlb,4,7670
830523800252516,tlb,5,6654
830523800256027,tlb,6,6524
830523800260116,tlb,7,7682
830523800263621,tlb,8,6444
830523800267306,tlb,9,6822
830523800270716,tlb,10,6272
830523800273900,tlb,11,5678
830523800277192,tlb,12,6096
830523800280428,tlb,13,5946
830523800283543,tlb,14,5710
830523800286796,tlb,15,5974
830523800289903,tlb,16,5722
830523800292990,tlb,17,5682
830523800296121,tlb,18,5774
830523800299207,tlb,19,5684
830523800302303,tlb,20,5658
830523800305425,tlb,21,5746
830523800308533,tlb,22,5724
830523800311631,tlb,23,5704
830523800314725,tlb,24,5692
830523800317838,tlb,25,5734
830523800320976,tlb,26,5780
830523800324062,tlb,27,5680
830523800327128,tlb,28,5644
830523800330223,tlb,29,5696
830523800333270,tlb,30,5602
830523800336370,tlb,31,5712
830523800339480,tlb,32,5734
830523800342593,tlb,33,5732
830523800345760,tlb,34,5844
830523800348862,tlb,35,5706
830523800351944,tlb,36,5622
830523800355068,tlb,37,5756
830523800358128,tlb,38,5628
830523800361237,tlb,39,5726
830523800364357,tlb,40,5752
830523800367471,tlb,41,5734
830523800370624,tlb,42,5700
830523800373732,tlb,43,5670
830523800376853,tlb,44,5692
830523800379996,tlb,45,5744
830523800383098,tlb,46,5714
830523800386167,tlb,47,5648
830523800389258,tlb,48,5686
830523800392395,tlb,49,5790
830523800395524,tlb,50,5720
830523800398633,tlb,51,5676
830523800401739,tlb,52,5720
830523800404868,tlb,53,5760
830523800407932,tlb,54,5646
830523800411010,tlb,55,5664
830523800414119,tlb,56,5726
830523800417232,tlb,57,5734
830523800420311,tlb,58,5668
830523800423423,tlb,59,5682
830523800426556,tlb,60,5708
830523800429656,tlb,61,5650
830523800432804,tlb,62,5742
830523800435945,tlb,63,5794
830523800439086,tlb,64,5790
830523800442177,tlb,65,5690
830523800445269,tlb,66,5694
830523800448385,tlb,67,5686
830523800451535,tlb,68,5752
830523800454631,tlb,69,5646
830523800457729,tlb,70,5642
830523800460851,tlb,71,5694
830523800463953,tlb,72,5716
830523800467065,tlb,73,5734
830523800470168,tlb,74,5714
830523800473269,tlb,75,5706
830523800476402,tlb,76,5722
830523800479824,tlb,77,6202
830523800483504,tlb,78,6382
830523800487210,tlb,79,6342
830523800490623,tlb,80,6108
830523800494315,tlb,81,6414
830523800497994,tlb,82,6392
830523800501673,tlb,83,6602
830523800505398,tlb,84,6272
830523800509167,tlb,85,6388
830523800512728,tlb,86,6040
830523800516279,tlb,87,6318
830523800519819,tlb,88,6266
830523800523428,tlb,89,6312
830523800527751,tlb,90,7412
830523800531511,tlb,91,6260
830523800535038,tlb,92,5896
830523800538723,tlb,93,6314
830523800542291,tlb,94,6298
830523800545971,tlb,95,6350
830523800550133,tlb,96,7012
830523800553884,tlb,97,6174
830523800557238,tlb,98,5838
830523800560945,tlb,99,6302
830523800564598,tlb,100,6342
830523800571979,tlb,101,5714
830523800575349,tlb,102,5832
830523800578464,tlb,103,5586
830523800581576,tlb,104,5648
830523800584628,tlb,105,5554
830523800587744,tlb,106,5680
830523800590818,tlb,107,5604
830523800593931,tlb,108,5744
830523800597043,tlb,109,5740
830523800600162,tlb,110,5688
830523800603261,tlb,111,5668
830523800606382,tlb,112,5720
830523800609494,tlb,113,5702
830523800612587,tlb,114,5718
830523800615676,tlb,115,5716
830523800618800,tlb,116,5684
830523800621872,tlb,117,5676
830523800624951,tlb,118,5692
830523800628088,tlb,119,5808
830523800631220,tlb,120,5802
830523800634330,tlb,121,5750
830523800637413,tlb,122,5702
830523800640509,tlb,123,5728
830523800643590,tlb,124,5692
830523800646711,tlb,125,5774
830523800649810,tlb,126,5726
830523800652919,tlb,127,5700
830523800655997,tlb,128,5694
830523800659062,tlb,129,5658
830523800662177,tlb,130,5756
830523800665312,tlb,131,5800
