ts_ns,probe,iter,cycles
830556484277145,btb,0,2128
830556484291401,btb,1,1710
830556484292771,btb,2,1558
830556484293864,btb,3,1602
830556484294920,btb,4,1560
830556484295969,btb,5,1580
830556484297000,btb,6,1562
830556484298083,btb,7,1682
830556484299115,btb,8,1586
830556484300044,btb,9,1376
830556484301077,btb,10,1598
830556484302241,btb,11,1736
830556484303204,btb,12,1386
830556484304164,btb,13,1408
830556484305289,btb,14,1748
830556484306222,btb,15,1376
830556484307163,btb,16,1398
830556484308102,btb,17,1398
830556484309196,btb,18,1716
830556484310140,btb,19,1398
830556484311077,btb,20,1396
830556484312006,btb,21,1380
830556484313043,btb,22,1592
830556484313983,btb,23,1400
830556484315022,btb,24,1612
830556484315963,btb,25,1386
830556484316897,btb,26,1390
830556484317836,btb,27,1396
830556484318892,btb,28,1630
830556484319924,btb,29,1594
830556484320854,btb,30,1380
830556484321914,btb,31,1638
830556484322851,btb,32,1390
830556484323791,btb,33,1420
830556484324708,btb,34,1386
830556484325618,btb,35,1370
830556484326522,btb,36,1360
830556484327443,btb,37,1394
830556484328514,btb,38,1694
830556484329415,btb,39,1356
830556484330434,btb,40,1584
830556484331338,btb,41,1360
830556484332240,btb,42,1356
830556484333151,btb,43,1376
830556484334165,btb,44,1580
830556484335078,btb,45,1378
830556484335986,btb,46,1368
830556484337001,btb,47,1582
830556484338056,btb,48,1666
830556484338981,btb,49,1376
830556484340006,btb,50,1588
830556484340923,btb,51,1376
830556484341851,btb,52,1396
830556484342871,btb,53,1590
830556484343893,btb,54,1584
830556484344823,btb,55,1378
830556484345850,btb,56,1590
830556484346772,btb,57,1380
830556484347697,btb,58,1394
830556484348627,btb,59,1400
830556484349564,btb,60,1428
830556484350485,btb,61,1390
830556484351395,btb,62,1372
830556484352309,btb,63,1384
830556484353213,btb,64,1356
830556484354305,btb,65,1738
830556484355212,btb,66,1354
830556484356114,btb,67,1356
830556484357014,btb,68,1356
830556484357934,btb,69,1392
830556484358836,btb,70,1362
830556484359737,btb,71,1356
830556484360801,btb,72,1682
830556484361714,btb,73,1364
830556484362612,btb,74,1354
830556484363531,btb,75,1392
830556484364443,btb,76,1382
830556484365355,btb,77,1376
830556484366263,btb,78,1368
830556484367359,btb,79,1746
830556484368418,btb,80,1666
830556484369333,btb,81,1376
830556484370346,btb,82,1582
830556484371262,btb,83,1374
830556484372180,btb,84,1392
830556484373080,btb,85,1356
830556484374095,btb,86,1586
830556484375001,btb,87,1358
830556484375908,btb,88,1370
830556484376823,btb,89,1382
830556484377881,btb,90,1668
830556484378806,btb,91,1396
830556484379727,btb,92,1396
830556484380639,btb,93,1376
830556484381541,btb,94,1356
830556484382455,btb,95,1382
830556484383358,btb,96,1360
830556484384268,btb,97,1374
830556484385171,btb,98,1358
830556484386257,btb,99,1726
830556484387162,btb,100,1356
830556487339505,btb,101,1682
830556487340662,btb,102,1590
830556487341691,btb,103,1484
830556487342663,btb,104,1444
830556487343614,btb,105,1404
830556487344552,btb,106,1386
830556487345488,btb,107,1392
830556487346511,btb,108,1568
830556487347447,btb,109,1388
830556487348458,btb,110,1544
830556487349378,btb,111,1352
830556487350412,btb,112,1590
830556487351331,btb,113,1356
830556487352342,btb,114,1550
830556487353279,btb,115,1392
830556487354251,btb,116,1468
830556487355169,btb,117,1358
830556487356183,btb,118,1550
830556487357101,btb,119,1356
830556487358114,btb,120,1550
830556487359047,btb,121,1384
830556487360080,btb,122,1588
830556487361018,btb,123,1396
830556487362052,btb,124,1592
830556487362973,btb,125,1360
830556487363987,btb,126,1550
830556487364920,btb,127,1386
830556487365933,btb,128,1550
830556487366859,btb,129,1368
830556487367873,btb,130,1552
830556487368791,btb,131,1356
830556487369805,btb,132,1548
830556487370743,btb,133,1394
830556487371796,btb,134,1632
830556487372716,btb,135,1354
830556487373725,btb,136,1544
830556487374651,btb,137,1366
830556487375659,btb,138,1546
830556487376597,btb,139,1392
830556487377607,btb,140,1546
830556487378535,btb,141,1376
830556487379547,btb,142,1550
830556487380466,btb,143,1356
830556487381495,btb,144,1582
830556487382417,btb,145,1366
830556487383429,btb,146,1552
830556487384364,btb,147,1388
830556487385334,btb,148,1466
830556487386255,btb,149,1360
830556487387266,btb,150,1548
830556487388185,btb,151,1358
830556487389199,btb,152,1552
830556487390132,btb,153,1382
830556487391166,btb,154,1590
830556487392106,btb,155,1394
830556487393136,btb,156,1590
830556487394057,btb,157,1360
830556487395073,btb,158,1552
830556487396007,btb,159,1386
830556487397023,btb,160,1554
830556487397949,btb,161,1370
830556487398964,btb,162,1554
830556487399880,btb,163,1352
830556487400895,btb,164,1554
830556487401833,btb,165,1390
830556487402888,btb,166,1636
830556487403804,btb,167,1350
830556487404814,btb,168,1544
830556487405739,btb,169,1366
830556487406748,btb,170,1544
830556487407685,btb,171,1390
830556487408696,btb,172,1546
830556487409632,btb,173,1390
830556487410641,btb,174,1546
830556487411558,btb,175,1354
830556487412589,btb,176,1588
830556487413507,btb,177,1356
830556487414518,btb,178,1546
830556487415454,btb,179,1394
830556487416424,btb,180,1466
830556487417342,btb,181,1358
830556487418355,btb,182,1548
830556487419273,btb,183,1354
830556487420286,btb,184,1550
830556487421219,btb,185,1384
830556487422251,btb,186,1592
830556487423190,btb,187,1394
830556487424220,btb,188,1586
830556487425140,btb,189,1354
830556487426156,btb,190,1550
830556487427090,btb,191,1386
830556487428105,btb,192,1550
830556487429032,btb,193,1372
830556487430046,btb,194,1552
830556487430965,btb,195,1354
830556487431978,btb,196,1552
830556487432917,btb,197,1394
830556487433927,btb,198,1546
830556487434845,btb,199,1350
830556487435856,btb,200,1544
830556487443356,btb,201,1636
830556487444421,btb,202,1510
830556487445477,btb,203,1512
830556487446524,btb,204,1560
830556487447507,btb,205,1456
830556487448541,btb,206,1562
830556487449499,btb,207,1414
830556487450543,btb,208,1586
830556487451483,btb,209,1388
830556487452506,btb,210,1558
830556487453450,btb,211,1392
830556487454427,btb,212,1470
830556487455351,btb,213,1360
830556487456370,btb,214,1556
830556487457291,btb,215,1356
830556487458309,btb,216,1550
830556487459241,btb,217,1378
830556487460277,btb,218,1588
830556487461217,btb,219,1396
830556487462253,btb,220,1592
830556487463174,btb,221,1352
830556487464234,btb,222,1636
830556487465166,btb,223,1384
830556487466180,btb,224,1548
830556487467108,btb,225,1364
830556487468124,btb,226,1550
830556487469044,btb,227,1350
830556487470058,btb,228,1546
830556487470996,btb,229,1388
830556487472050,btb,230,1628
830556487472968,btb,231,1352
830556487474104,btb,232,1766
830556487475029,btb,233,1366
830556487476039,btb,234,1544
830556487476974,btb,235,1392
830556487477986,btb,236,1548
830556487478920,btb,237,1390
830556487479931,btb,238,1552
830556487480850,btb,239,1358
830556487481903,btb,240,1632
830556487482821,btb,241,1356
830556487483834,btb,242,1552
830556487484770,btb,243,1392
830556487485741,btb,244,1468
830556487486661,btb,245,1358
830556487487675,btb,246,1552
830556487488595,btb,247,1356
830556487489610,btb,248,1552
830556487490541,btb,249,1384
830556487491573,btb,250,1586
830556487492511,btb,251,1394
830556487493540,btb,252,1586
830556487494459,btb,253,1356
830556487495475,btb,254,1554
830556487496406,btb,255,1384
830556487497418,btb,256,1548
830556487498342,btb,257,1366
830556487499353,btb,258,1552
830556487500271,btb,259,1356
830556487501282,btb,260,1548
830556487502219,btb,261,1390
830556487503225,btb,262,1540
830556487504142,btb,263,1352
830556487505261,btb,264,1766
830556487506184,btb,265,1366
830556487507191,btb,266,1538
830556487508125,btb,267,1390
830556487509134,btb,268,1548
830556487510071,btb,269,1390
830556487511083,btb,270,1552
830556487512001,btb,271,1360
830556487513034,btb,272,1588
830556487513952,btb,273,1356
830556487514967,btb,274,1552
830556487515903,btb,275,1394
830556487516873,btb,276,1470
830556487517792,btb,277,1356
830556487518810,btb,278,1558
830556487519728,btb,279,1358
830556487520771,btb,280,1616
830556487521702,btb,281,1378
830556487522733,btb,282,1586
830556487523672,btb,283,1394
830556487524702,btb,284,1588
830556487525621,btb,285,1356
830556487526641,btb,286,1558
830556487527571,btb,287,1388
830556487528585,btb,288,1550
830556487529507,btb,289,1366
830556487530522,btb,290,1556
830556487531440,btb,291,1354
830556487532452,btb,292,1548
830556487533388,btb,293,1392
830556487534417,btb,294,1590
830556487535333,btb,295,1352
830556487536457,btb,296,1772
830556487537380,btb,297,1366
830556487538387,btb,298,1542
830556487539321,btb,299,1390
830556487540330,btb,300,1546
830556487545317,btb,301,1638
830556487546373,btb,302,1482
830556487547378,btb,303,1426
830556487548409,btb,304,1530
830556487549350,btb,305,1388
830556487550375,btb,306,1556
830556487551312,btb,307,1384
830556487552293,btb,308,1472
830556487553217,btb,309,1360
830556487554243,btb,310,1558
830556487555171,btb,311,1360
830556487556209,btb,312,1554
830556487557131,btb,313,1360
830556487558163,btb,314,1586
830556487559101,btb,315,1390
830556487560242,btb,316,1814
830556487561159,btb,317,1356
830556487562172,btb,318,1552
830556487563104,btb,319,1378
830556487564135,btb,320,1586
830556487565058,btb,321,1366
830556487566067,btb,322,1544
830556487566983,btb,323,1348
830556487567994,btb,324,1548
830556487568930,btb,325,1390
830556487569937,btb,326,1540
830556487570853,btb,327,1350
830556487571863,btb,328,1544
830556487572788,btb,329,1364
830556487573799,btb,330,1546
830556487574737,btb,331,1398
830556487575763,btb,332,1546
830556487576702,btb,333,1390
830556487577716,btb,334,1552
830556487578636,btb,335,1360
830556487579610,btb,336,1474
830556487580529,btb,337,1354
830556487581540,btb,338,1548
830556487582479,btb,339,1396
830556487583449,btb,340,1466
830556487584369,btb,341,1362
830556487585387,btb,342,1556
830556487586307,btb,343,1364
830556487587322,btb,344,1550
830556487588240,btb,345,1354
830556487589273,btb,346,1590
830556487590213,btb,347,1392
830556487591449,btb,348,1996
830556487592367,btb,349,1356
830556487593382,btb,350,1556
830556487594312,btb,351,1380
830556487595324,btb,352,1548
830556487596250,btb,353,1368
830556487597260,btb,354,1548
830556487598177,btb,355,1352
830556487599189,btb,356,1548
830556487600125,btb,357,1388
830556487601129,btb,358,1536
830556487602046,btb,359,1350
830556487603056,btb,360,1544
830556487603980,btb,361,1366
830556487604990,btb,362,1548
830556487605929,btb,363,1394
830556487606938,btb,364,1546
830556487607875,btb,365,1390
830556487608889,btb,366,1554
830556487609809,btb,367,1358
830556487610782,btb,368,1470
830556487611701,btb,369,1364
830556487612715,btb,370,1548
830556487613651,btb,371,1398
830556487614623,btb,372,1462
830556487615541,btb,373,1358
830556487616560,btb,374,1560
830556487617480,btb,375,1358
830556487618495,btb,376,1554
830556487619416,btb,377,1358
830556487620449,btb,378,1588
830556487621387,btb,379,1396
830556487622623,btb,380,2002
830556487623542,btb,381,1354
830556487624556,btb,382,1550
830556487625487,btb,383,1378
830556487626502,btb,384,1554
830556487627427,btb,385,1366
830556487628436,btb,386,1548
830556487629354,btb,387,1354
830556487630366,btb,388,1550
830556487631303,btb,389,1390
830556487632352,btb,390,1624
830556487633268,btb,391,1352
830556487634277,btb,392,1544
830556487635203,btb,393,1370
830556487636211,btb,394,1546
830556487637148,btb,395,1392
830556487638159,btb,396,1548
830556487639097,btb,397,1396
830556487640110,btb,398,1556
830556487641031,btb,399,1360
830556487642003,btb,400,1470
830556487644523,btb,401,1878
830556487645561,btb,402,1402
830556487646529,btb,403,1416
830556487647717,btb,404,1888
830556487648752,btb,405,1588
830556487649775,btb,406,1560
830556487650814,btb,407,1590
830556487651833,btb,408,1550
830556487652955,btb,409,1756
830556487653988,btb,410,1580
830556487654929,btb,411,1394
830556487656070,btb,412,1808
830556487657106,btb,413,1586
830556487658123,btb,414,1550
830556487659055,btb,415,1380
830556487660245,btb,416,1900
830556487661278,btb,417,1584
830556487662293,btb,418,1546
830556487663329,btb,419,1584
830556487664345,btb,420,1550
830556487665283,btb,421,1392
830556487666291,btb,422,1544
830556487667325,btb,423,1584
830556487668341,btb,424,1548
830556487669442,btb,425,1714
830556487670456,btb,426,1544
830556487671396,btb,427,1394
830556487672409,btb,428,1548
830556487673347,btb,429,1394
830556487674364,btb,430,1558
830556487675401,btb,431,1588
830556487676557,btb,432,1826
830556487677593,btb,433,1590
830556487678615,btb,434,1556
830556487679555,btb,435,1398
830556487680532,btb,436,1478
830556487681569,btb,437,1590
830556487682588,btb,438,1554
830556487683625,btb,439,1590
830556487684643,btb,440,1548
830556487685681,btb,441,1590
830556487686714,btb,442,1582
830556487687655,btb,443,1394
830556487688893,btb,444,1998
830556487689979,btb,445,1688
830556487691105,btb,446,1764
830556487692037,btb,447,1378
830556487693241,btb,448,1928
830556487694274,btb,449,1582
830556487695288,btb,450,1548
830556487696355,btb,451,1652
830556487697374,btb,452,1552
830556487698311,btb,453,1390
830556487699321,btb,454,1542
830556487700357,btb,455,1584
830556487701373,btb,456,1546
830556487702410,btb,457,1586
830556487703424,btb,458,1546
830556487704364,btb,459,1394
830556487705378,btb,460,1552
830556487706319,btb,461,1396
830556487707335,btb,462,1554
830556487708373,btb,463,1590
830556487709530,btb,464,1826
