ts_ns,probe,iter,cycles
830583309174138,pht,0,4782
830583309189422,pht,1,4056
830583309191868,pht,2,3792
830583309194171,pht,3,4000
830583309196363,pht,4,3882
830583309198423,pht,5,3618
830583309200566,pht,6,3800
830583309202513,pht,7,3412
830583309204653,pht,8,3800
830583309206771,pht,9,3766
830583309208891,pht,10,3768
830583309211080,pht,11,3796
830583309213235,pht,12,3816
830583309215248,pht,13,3534
830583309217535,pht,14,4108
830583309219635,pht,15,3710
830583309221714,pht,16,3690
830583309223753,pht,17,3610
830583309225890,pht,18,3810
830583309228034,pht,19,3826
830583309230189,pht,20,3842
830583309232339,pht,21,3836
830583309234485,pht,22,3824
830583309236610,pht,23,3784
830583309238865,pht,24,4048
830583309240930,pht,25,3666
830583309243055,pht,26,3786
830583309245130,pht,27,3686
830583309247270,pht,28,3814
830583309249369,pht,29,3732
830583309251526,pht,30,3854
830583309253641,pht,31,3762
830583309255836,pht,32,3932
830583309257956,pht,33,3774
830583309260011,pht,34,3628
830583309262108,pht,35,3728
830583309264178,pht,36,3676
830583309266258,pht,37,3690
830583309268342,pht,38,3694
830583309270392,pht,39,3642
830583309272416,pht,40,3566
830583309274435,pht,41,3576
830583309276499,pht,42,3652
830583309278599,pht,43,3740
830583309280740,pht,44,3820
830583309282861,pht,45,3778
830583309284978,pht,46,3748
830583309287100,pht,47,3788
830583309289175,pht,48,3668
830583309291263,pht,49,3720
830583309293385,pht,50,3778
830583309295509,pht,51,3784
830583309297626,pht,52,3770
830583309299721,pht,53,3724
830583309301886,pht,54,3862
830583309303994,pht,55,3746
830583309306198,pht,56,3940
830583309308276,pht,57,3690
830583309310384,pht,58,3748
830583309312421,pht,59,3610
830583309314578,pht,60,3850
830583309316594,pht,61,3564
830583309318700,pht,62,3744
830583309320876,pht,63,3886
830583309322997,pht,64,3776
830583309325121,pht,65,3784
830583309327222,pht,66,3734
830583309329349,pht,67,3770
830583309331336,pht,68,3504
830583309333328,pht,69,3508
830583309335443,pht,70,3766
830583309337454,pht,71,3552
830583309339578,pht,72,3784
830583309341495,pht,73,3362
830583309343603,pht,74,3750
830583309345638,pht,75,3604
830583309347739,pht,76,3738
830583309349862,pht,77,3778
830583309351699,pht,78,3208
830583309353820,pht,79,3776
830583309355940,pht,80,3770
830583309358058,pht,81,3768
830583309360180,pht,82,3776
830583309362309,pht,83,3792
830583309364427,pht,84,3766
830583309366548,pht,85,3776
830583309368653,pht,86,3742
830583309370816,pht,87,3860
830583309372878,pht,88,3660
830583309374969,pht,89,3718
830583309377067,pht,90,3736
830583309379176,pht,91,3754
830583309381338,pht,92,3858
830583309383545,pht,93,3946
830583309385707,pht,94,3860
830583309387898,pht,95,3912
830583309390024,pht,96,3786
830583309392097,pht,97,3664
830583309394217,pht,98,3782
830583309396215,pht,99,3516
830583309398336,pht,100,3760
830583309401873,pht,101,3724
830583309404119,pht,102,3794
830583309406274,pht,103,3772
830583309408445,pht,104,3760
830583309410565,pht,105,3776
830583309412693,pht,106,3790
830583309414817,pht,107,3784
830583309416938,pht,108,3778
830583309419060,pht,109,3778
830583309421181,pht,110,3776
830583309423299,pht,111,3772
830583309425413,pht,112,3766
830583309427533,pht,113,3776
830583309429637,pht,114,3744
830583309431660,pht,115,3582
830583309433731,pht,116,3680
830583309435799,pht,117,3664
830583309437908,pht,118,3754
830583309440013,pht,119,3748
830583309442143,pht,120,3794
830583309444269,pht,121,3790
830583309446389,pht,122,3778
830583309448520,pht,123,3798
830583309450639,pht,124,3772
830583309452757,pht,125,3772
830583309454912,pht,126,3844
830583309457087,pht,127,3882
830583309459259,pht,128,3886
830583309461379,pht,129,3760
830583309463364,pht,130,3512
830583309465364,pht,131,3538
830583309467481,pht,132,3772
830583309469590,pht,133,3754
830583309471652,pht,134,3662
830583309473770,pht,135,3770
830583309475851,pht,136,3698
830583309477970,pht,137,3772
830583309480090,pht,138,3774
830583309482223,pht,139,3770
830583309484323,pht,140,3736
830583309486452,pht,141,3792
830583309488560,pht,142,3752
830583309490681,pht,143,3780
830583309492802,pht,144,3778
830583309494917,pht,145,3768
830583309497005,pht,146,3712
830583309499107,pht,147,3738
830583309501190,pht,148,3704
830583309503310,pht,149,3780
830583309505334,pht,150,3586
830583309507358,pht,151,3584
830583309509463,pht,152,3748
830583309511630,pht,153,3780
830583309513760,pht,154,3792
830583309515891,pht,155,3796
830583309517987,pht,156,3726
830583309520115,pht,157,3788
830583309522237,pht,158,3776
830583309524357,pht,159,3774
830583309526580,pht,160,3980
830583309528690,pht,161,3754
830583309530816,pht,162,3772
830583309532930,pht,163,3754
830583309535043,pht,164,3764
830583309537140,pht,165,3730
830583309539263,pht,166,3778
830583309541385,pht,167,3782
830583309543508,pht,168,3782
830583309545630,pht,169,3780
830583309547767,pht,170,3804
830583309549874,pht,171,3752
830583309551997,pht,172,3776
830583309554114,pht,173,3770
830583309556238,pht,174,3768
830583309558351,pht,175,3764
830583309560463,pht,176,3760
830583309562573,pht,177,3752
830583309564693,pht,178,3774
830583309566802,pht,179,3752
830583309568925,pht,180,3780
830583309571004,pht,181,3694
830583309573106,pht,182,3740
830583309575227,pht,183,3776
830583309577332,pht,184,3742
830583309579243,pht,185,3352
830583309581371,pht,186,3794
830583309583513,pht,187,3816
830583309585530,pht,188,3568
830583309587676,pht,189,3824
830583309589963,pht,190,4110
830583309592065,pht,191,3738
830583309594174,pht,192,3754
830583309596285,pht,193,3756
830583309598403,pht,194,3770
830583309600528,pht,195,3770
830583309602643,pht,196,3772
830583309604769,pht,197,3784
830583309606858,pht,198,3708
830583309608961,pht,199,3742
830583309611085,pht,200,3784
830583312527513,pht,201,3774
830583312529698,pht,202,3740
830583312531886,pht,203,3752
830583312534028,pht,204,3766
830583312536162,pht,205,3770
830583312538286,pht,206,3758
830583312540419,pht,207,3776
830583312542542,pht,208,3756
830583312544675,pht,209,3776
830583312546801,pht,210,3762
830583312548860,pht,211,3624
830583312551002,pht,212,3796
830583312553140,pht,213,3786
830583312555249,pht,214,3746
830583312557330,pht,215,3694
830583312559410,pht,216,3692
830583312561492,pht,217,3698
830583312563608,pht,218,3768
830583312565730,pht,219,3778
830583312567838,pht,220,3748
830583312570013,pht,221,3888
830583312572169,pht,222,3834
830583312574443,pht,223,4076
830583312576568,pht,224,3784
830583312578713,pht,225,3820
830583312580822,pht,226,3756
830583312582946,pht,227,3770
830583312585052,pht,228,3744
830583312587189,pht,229,3794
830583312589305,pht,230,3762
830583312591431,pht,231,3782
830583312593549,pht,232,3770
830583312595668,pht,233,3770
830583312597776,pht,234,3748
830583312599896,pht,235,3776
830583312602012,pht,236,3766
830583312604140,pht,237,3792
830583312606247,pht,238,3748
830583312608361,pht,239,3762
830583312610492,pht,240,3796
830583312612615,pht,241,3774
830583312614578,pht,242,3458
830583312616689,pht,243,3756
830583312618824,pht,244,3804
830583312620942,pht,245,3766
830583312623049,pht,246,3750
830583312625160,pht,247,3758
830583312627260,pht,248,3734
830583312629363,pht,249,3740
830583312631464,pht,250,3736
830583312633574,pht,251,3754
830583312635697,pht,252,3774
830583312637862,pht,253,3782
830583312639976,pht,254,3756
830583312642096,pht,255,3774
830583312644244,pht,256,3828
830583312646385,pht,257,3798
830583312648511,pht,258,3780
830583312650655,pht,259,3824
830583312652776,pht,260,3770
830583312654900,pht,261,3780
830583312657023,pht,262,3776
830583312659138,pht,263,3764
830583312661255,pht,264,3766
830583312663283,pht,265,3588
830583312665378,pht,266,3724
830583312667505,pht,267,3788
830583312669623,pht,268,3764
830583312671743,pht,269,3772
830583312673868,pht,270,3780
830583312675990,pht,271,3776
830583312678111,pht,272,3772
830583312680237,pht,273,3780
830583312682316,pht,274,3682
830583312684441,pht,275,3782
830583312686542,pht,276,3734
830583312688660,pht,277,3770
830583312690721,pht,278,3654
830583312692756,pht,279,3602
830583312694853,pht,280,3726
830583312696963,pht,281,3752
830583312699071,pht,282,3752
830583312701161,pht,283,3710
830583312703280,pht,284,3770
830583312705407,pht,285,3782
830583312707520,pht,286,3762
830583312709642,pht,287,3778
830583312711898,pht,288,4042
830583312714097,pht,289,3926
830583312716142,pht,290,3612
830583312718243,pht,291,3742
830583312720285,pht,292,3598
830583312722400,pht,293,3768
830583312724454,pht,294,3640
830583312726570,pht,295,3766
830583312728701,pht,296,3796
830583312730815,pht,297,3762
830583312732914,pht,298,3730
830583312735032,pht,299,3766
830583312737150,pht,300,3770
830583312745320,pht,301,3904
830583312747488,pht,302,3722
830583312749661,pht,303,3776
830583312751802,pht,304,3776
830583312753923,pht,305,3752
830583312756034,pht,306,3724
830583312758156,pht,307,3754
830583312760204,pht,308,3608
830583312762305,pht,309,3710
830583312764384,pht,310,3668
830583312766505,pht,311,3750
830583312768631,pht,312,3764
830583312770718,pht,313,3702
830583312772819,pht,314,3726
830583312774951,pht,315,3794
830583312777070,pht,316,3772
830583312779202,pht,317,3794
830583312781323,pht,318,3770
830583312783464,pht,319,3812
830583312785583,pht,320,3772
830583312787709,pht,321,3782
830583312789739,pht,322,3592
830583312791875,pht,323,3788
830583312793988,pht,324,3754
830583312796103,pht,325,3754
830583312798218,pht,326,3760
830583312800341,pht,327,3774
830583312802465,pht,328,3770
830583312804593,pht,329,3784
830583312806594,pht,330,3528
830583312808659,pht,331,3656
830583312810761,pht,332,3730
830583312812890,pht,333,3786
830583312815016,pht,334,3780
830583312817139,pht,335,3774
830583312819255,pht,336,3760
830583312821375,pht,337,3770
830583312823488,pht,338,3756
830583312825610,pht,339,3774
830583312827716,pht,340,3740
830583312829847,pht,341,3790
830583312831963,pht,342,3764
830583312834036,pht,343,3672
830583312836155,pht,344,3768
830583312838142,pht,345,3498
830583312840231,pht,346,3708
830583312842335,pht,347,3736
830583312844320,pht,348,3500
830583312846425,pht,349,3740
830583312848572,pht,350,3824
830583312850717,pht,351,3822
830583312852817,pht,352,3732
830583312854965,pht,353,3750
830583312857092,pht,354,3786
830583312859219,pht,355,3768
830583312861342,pht,356,3776
830583312863464,pht,357,3774
830583312865595,pht,358,3784
830583312867710,pht,359,3770
830583312869841,pht,360,3792
830583312871918,pht,361,3682
830583312874046,pht,362,3788
830583312876170,pht,363,3778
830583312878301,pht,364,3794
830583312880422,pht,365,3776
830583312882542,pht,366,3772
830583312884665,pht,367,3782
830583312886776,pht,368,3756
830583312888897,pht,369,3780
830583312891039,pht,370,3820
830583312893144,pht,371,3744
830583312895224,pht,372,3692
830583312897345,pht,373,3778
830583312899468,pht,374,3778
830583312901589,pht,375,3776
830583312903721,pht,376,3796
830583312905613,pht,377,3312
830583312907731,pht,378,3772
830583312909850,pht,379,3772
830583312911987,pht,380,3806
830583312914087,pht,381,3736
830583312916125,pht,382,3610
830583312918246,pht,383,3778
830583312920381,pht,384,3808
830583312922523,pht,385,3804
830583312924615,pht,386,3726
830583312926755,pht,387,3812
830583312928877,pht,388,3782
830583312931000,pht,389,3784
830583312933122,pht,390,3778
830583312935250,pht,391,3790
830583312937374,pht,392,3780
830583312939494,pht,393,3770
830583312941622,pht,394,3786
830583312943740,pht,395,3772
830583312945861,pht,396,3776
830583312947978,pht,397,3766
830583312950092,pht,398,3762
830583312952215,pht,399,3780
830583312954338,pht,400,3776
830583312957762,pht,401,3600
830583312959915,pht,402,3718
830583312961794,pht,403,3192
830583312963933,pht,404,3782
830583312966071,pht,405,3792
830583312968140,pht,406,3664
830583312970263,pht,407,3772
830583312972311,pht,408,3644
830583312974339,pht,409,3602
830583312976436,pht,410,3742
830583312978548,pht,411,3776
830583312980655,pht,412,3764
830583312982758,pht,413,3754
830583312984808,pht,414,3650
830583312986924,pht,415,3778
830583312988944,pht,416,3584
830583312990823,pht,417,3302
830583312992980,pht,418,3840
830583312995114,pht,419,3818
830583312997232,pht,420,3780
830583312999352,pht,421,3768
830583313005124,pht,422,10950
830583313007334,pht,423,3538
830583313009495,pht,424,3786
830583313011642,pht,425,3764
830583313013640,pht,426,3522
830583313015730,pht,427,3710
830583313017822,pht,428,3716
830583313019922,pht,429,3636
830583313022029,pht,430,3742
830583313024113,pht,431,3696
830583313026219,pht,432,3748
830583313028264,pht,433,3626
830583313030366,pht,434,3722
830583313032459,pht,435,3728
830583313034549,pht,436,3710
830583313036668,pht,437,3778
830583313038787,pht,438,3758
830583313040898,pht,439,3760
830583313042992,pht,440,3724
830583313045096,pht,441,3748
830583313047110,pht,442,3564
830583313049150,pht,443,3616
830583313051257,pht,444,3752
830583313053388,pht,445,3798
830583313055343,pht,446,3446
830583313057470,pht,447,3792
830583313059526,pht,448,3650
830583313061649,pht,449,3780
830583313063781,pht,450,3798
830583313065908,pht,451,3790
830583313068038,pht,452,3792
830583313070139,pht,453,3656
830583313072273,pht,454,3808
830583313074397,pht,455,3790
830583313076520,pht,456,3790
830583313078638,pht,457,3778
830583313080741,pht,458,3752
830583313082799,pht,459,3658
830583313084916,pht,460,3776
830583313087034,pht,461,3780
830583313089129,pht,462,3728
830583313091231,pht,463,3752
830583313093321,pht,464,3720
830583313095431,pht,465,3762
830583313097552,pht,466,3784
830583313099560,pht,467,3560
830583313101649,pht,468,3720
830583313103768,pht,469,3782
830583313105888,pht,470,3784
830583313107979,pht,471,3726
830583313110041,pht,472,3670
830583313112139,pht,473,3734
830583313114132,pht,474,3534
830583313116199,pht,475,3676
830583313118250,pht,476,3646
830583313120381,pht,477,3804
830583313122452,pht,478,3684
830583313124496,pht,479,3630
830583313126597,pht,480,3746
830583313128708,pht,481,3760
830583313130826,pht,482,3786
830583313132944,pht,483,3764
830583313135050,pht,484,3762
830583313137161,pht,485,3766
830583313139275,pht,486,3770
830583313141352,pht,487,3700
830583313143460,pht,488,3762
830583313145575,pht,489,3770
830583313147688,pht,490,3770
830583313149801,pht,491,3768
830583313151915,pht,492,3772
830583313154036,pht,493,3784
830583313156130,pht,494,3730
830583313158235,pht,495,3750
830583313160346,pht,496,3764
830583313162450,pht,497,3750
830583313164547,pht,498,3736
830583313166661,pht,499,3770
830583313168745,pht,500,3712
830583313174995,pht,501,3796
830583313177179,pht,502,3776
830583313179238,pht,503,3560
830583313181321,pht,504,3680
830583313183431,pht,505,3738
830583313185558,pht,506,3784
830583313187664,pht,507,3744
830583313189807,pht,508,3818
830583313191915,pht,509,3736
830583313194023,pht,510,3744
830583313196178,pht,511,3836
830583313198291,pht,512,3762
830583313200396,pht,513,3740
830583313202529,pht,514,3812
830583313204657,pht,515,3806
830583313206764,pht,516,3760
830583313208871,pht,517,3760
830583313210987,pht,518,3776
830583313213100,pht,519,3770
830583313215219,pht,520,3784
830583313217338,pht,521,3784
830583313219454,pht,522,3784
830583313221573,pht,523,3786
830583313223686,pht,524,3774
830583313225805,pht,525,3786
830583313227921,pht,526,3784
830583313230031,pht,527,3770
830583313232151,pht,528,3788
830583313234227,pht,529,3698
830583313236261,pht,530,3618
830583313238373,pht,531,3776
830583313240487,pht,532,3778
830583313242603,pht,533,3782
830583313244698,pht,534,3736
830583313246787,pht,535,3728
830583313248891,pht,536,3758
830583313251011,pht,537,3790
830583313253133,pht,538,3786
830583313255234,pht,539,3758
830583313257353,pht,540,3784
830583313259469,pht,541,3782
830583313261552,pht,542,3718
830583313263654,pht,543,3754
830583313265679,pht,544,3596
830583313267810,pht,545,3814
830583313269867,pht,546,3664
830583313271932,pht,547,3686
830583313274043,pht,548,3770
830583313276160,pht,549,3784
830583313278284,pht,550,3796
830583313280399,pht,551,3778
830583313282518,pht,552,3780
830583313284678,pht,553,3772
830583313286794,pht,554,3784
830583313288903,pht,555,3774
830583313291012,pht,556,3776
830583313293119,pht,557,3770
830583313295226,pht,558,3770
830583313297330,pht,559,3766
830583313299434,pht,560,3766
830583313301538,pht,561,3766
830583313303641,pht,562,3762
830583313305702,pht,563,3678
830583313307794,pht,564,3740
830583313309581,pht,565,3132
830583313311667,pht,566,3712
830583313313792,pht,567,3790
830583313315875,pht,568,3728
830583313317959,pht,569,3724
830583313320034,pht,570,3706
830583313322103,pht,571,3696
830583313324210,pht,572,3762
830583313326343,pht,573,3820
830583313328459,pht,574,3786
830583313330496,pht,575,3632
830583313332625,pht,576,3814
830583313334736,pht,577,3780
830583313336841,pht,578,3764
